param,mean,sd,q5,q50,q95,rhat,ess
"age_curve_position[1,11]",4.56651,0.225503,4.21581,4.56517,4.95066,1.00427,3084.56
"age_curve_position[1,12]",4.46055,0.22859,4.09458,4.46296,4.85031,1.00319,2542.15
"age_curve_position[1,13]",4.3572,0.2343,3.98316,4.35976,4.75321,1.00199,2115.81
"age_curve_position[1,14]",4.25642,0.24207,3.86248,4.256,4.66773,1.00055,1800.06
"age_curve_position[1,15]",4.15813,0.251385,3.74872,4.15649,4.58349,1.00107,1588.72
"age_curve_position[1,16]",4.06227,0.261799,3.6326,4.05841,4.51289,1.00119,1434.58
"age_curve_position[1,17]",3.96877,0.272945,3.53664,3.96464,4.43404,1.00164,1318.37
"age_curve_position[1,18]",3.87758,0.284527,3.42509,3.87594,4.36167,1.00187,1235.76
"age_curve_position[1,19]",3.78862,0.296317,3.32024,3.78486,4.28885,1.00187,1172.67
"age_curve_position[1,20]",3.70185,0.308136,3.2153,3.69766,4.21969,1.00203,1122.08
"age_curve_position[1,21]",3.61721,0.319851,3.11611,3.60933,4.1457,1.00227,1080.86
"age_curve_position[1,22]",3.53464,0.331359,3.01696,3.52719,4.08144,1.00317,1051.45
"age_curve_position[1,23]",3.45408,0.342586,2.91663,3.44721,4.02073,1.00373,1027.54
"age_curve_position[1,24]",3.3755,0.353477,2.82503,3.36979,3.95728,1.00359,1007.45
"age_curve_position[2,1]",8.40091,0.72253,7.27708,8.35571,9.65102,1.00211,1252.12
"age_curve_position[2,2]",8.32765,0.670517,7.28374,8.29373,9.48173,1.00216,1378.87
"age_curve_position[2,3]",8.25551,0.622472,7.28611,8.24214,9.32406,1.00317,1575.91
"age_curve_position[2,4]",8.18446,0.578938,7.27535,8.17619,9.17361,1.00204,1814.78
"age_curve_position[2,5]",8.11448,0.540551,7.2655,8.09835,9.04068,1.0011,2147.07
"age_curve_position[2,6]",8.04556,0.508022,7.22851,8.03238,8.91034,1.00229,2640.22
"age_curve_position[2,7]",7.97768,0.48208,7.21101,7.96463,8.81065,1.00233,3195.02
"age_curve_position[2,8]",7.91083,0.463384,7.17922,7.89588,8.69328,1.00294,3635.76
"age_curve_position[2,9]",7.84498,0.452394,7.13894,7.82825,8.61415,1.00234,3684.28
"age_curve_position[2,10]",7.78012,0.44926,7.08353,7.7652,8.5384,1.00305,3257.21
"age_curve_position[2,11]",7.71624,0.453756,7.00374,7.70232,8.47343,1.00195,2684.18
"age_curve_position[2,12]",7.65332,0.4653,6.92499,7.63486,8.43256,1.00031,2170.97
"age_curve_position[2,13]",7.59135,0.483059,6.82348,7.57458,8.40856,0.999114,1752.3
"age_curve_position[2,14]",7.53031,0.506083,6.73057,7.51261,8.39339,0.999659,1457.53
"age_curve_position[2,15]",7.47018,0.533426,6.62329,7.46025,8.3715,1.00026,1265.57
"age_curve_position[2,16]",7.41095,0.564222,6.51345,7.39935,8.3871,1.00083,1126.86
"age_curve_position[2,17]",7.35262,0.597726,6.41401,7.33506,8.39887,1.00137,1025.36
"age_curve_position[2,18]",7.29516,0.63332,6.3066,7.26385,8.38281,1.00182,954.99
"age_curve_position[2,19]",7.23855,0.670502,6.19815,7.20251,8.40081,1.00215,901.696
"age_curve_position[2,20]",7.1828,0.708872,6.08064,7.14581,8.40585,1.00248,859.114
"age_curve_position[2,21]",7.12788,0.748113,5.9699,7.09421,8.40305,1.00273,827.345
"age_curve_position[2,22]",7.07378,0.787974,5.85637,7.04181,8.41022,1.00298,802.398
"age_curve_position[2,23]",7.0205,0.828258,5.75634,6.9826,8.42584,1.00322,779.087
"age_curve_position[2,24]",6.96801,0.86881,5.65776,6.93095,8.44828,1.00333,758.687
"age_curve_position[3,1]",12.3682,1.70311,9.81039,12.2445,15.2902,1.00003,1506.18
"age_curve_position[3,2]",12.2361,1.58405,9.83867,12.1438,14.9669,1.0001,1667.64
"age_curve_position[3,3]",12.1069,1.47517,9.85968,12.0198,14.6278,0.999588,1879.55
"age_curve_position[3,4]",11.9808,1.37752,9.82991,11.8952,14.3255,0.999258,2162.01
"age_curve_position[3,5]",11.8576,1.2923,9.81271,11.7597,14.0918,0.998906,2539.7
"age_curve_position[3,6]",11.7373,1.22081,9.78458,11.6722,13.8635,0.998907,3026.7
"age_curve_position[3,7]",11.6197,1.16429,9.739,11.5549,13.6034,0.999383,3778.99
"age_curve_position[3,8]",11.5049,1.12378,9.71026,11.454,13.3855,1.00041,3963.35
"age_curve_position[3,9]",11.3928,1.09988,9.63197,11.3544,13.1847,1.00117,3965.08
"age_curve_position[3,10]",11.2833,1.09262,9.54089,11.2432,13.0942,1.00096,3572.9
"age_curve_position[3,11]",11.1764,1.10132,9.44896,11.1264,13.0251,1.00094,2994.1
"age_curve_position[3,12]",11.0719,1.12472,9.27553,11.0388,12.9605,1.00143,2459.05
"age_curve_position[3,13]",10.9699,1.16114,9.15165,10.9425,12.9195,1.00131,2050.88
"age_curve_position[3,14]",10.8704,1.2087,8.97037,10.8181,12.9299,1.00043,1742.62
"age_curve_position[3,15]",10.7732,1.26551,8.83347,10.7032,12.9149,1.00006,1515.98
"age_curve_position[3,16]",10.6782,1.32985,8.6108,10.5909,12.9026,1.00014,1355.99
"age_curve_position[3,17]",10.5856,1.40021,8.41109,10.4869,12.9066,1.00018,1237.79
"age_curve_position[3,18]",10.4952,1.47532,8.21883,10.4006,12.9605,1.00041,1150.61
"age_curve_position[3,19]",10.4069,1.55413,8.04579,10.3054,13.0384,1.0006,1083.23
"age_curve_position[3,20]",10.3207,1.63581,7.86173,10.2149,13.0921,1.00076,1031.67
"age_curve_position[3,21]",10.2367,1.71967,7.692,10.1075,13.1738,1.00086,993.424
"age_curve_position[3,22]",10.1547,1.8052,7.50312,10.0103,13.2814,1.00099,961.87
"age_curve_position[3,23]",10.0746,1.89196,7.30022,9.8951,13.4098,1.00109,936.537
"age_curve_position[3,24]",9.99658,1.97962,7.1194,9.7759,13.4643,1.00122,914.863
lineup_lift_specialist_strong,-0.00669698,0.00922561,-0.0185138,-0.00887128,0.0112627,1.00535,377.477
lineup_lift_roleplayer_strong,0.00669698,0.00922561,-0.0112627,0.00887128,0.0185138,1.00535,377.477
