nba_api_id,fg3m,fg3a,ftm,fta,3pt_pct_emp,ft_pct_emp,prior_mean,alpha_prior,beta_prior,alpha_post,beta_post,3pt_pct_eb,3pt_pct_eb_sd,name
1713,61,202,23,29,0.30198019801980197,0.7931034482758621,0.3555562111500389,5.464835436940088,9.904985889663084,66.46483543694009,150.9049858896631,0.30576845962933896,0.031178283640246125,Vince Carter
2037,1,2,0,0,0.5,,0.30443007897985414,4.679035920364051,10.690785406239122,5.679035920364051,11.690785406239122,0.32694843623210934,0.1094488833335222,Jamal Crawford
2199,0,0,6,13,,0.46153846153846156,0.2790467130313271,4.288898121067407,11.080923205535766,4.288898121067407,11.080923205535766,0.2790467130313271,0.11085876831707782,Tyson Chandler
2207,0,0,0,0,,,0.30443007897985414,4.679035920364051,10.690785406239122,4.679035920364051,10.690785406239122,0.30443007897985414,0.11373449594025534,Joe Johnson
2544,534,1535,947,1299,0.3478827361563518,0.729022324865281,0.3407693223435021,5.23756359800727,10.132257728595903,539.2375635980072,1011.132257728596,0.347812216272759,0.012092081795839702,LeBron James
2546,369,948,405,474,0.38924050632911394,0.8544303797468354,0.3697075628780214,5.682339184529098,9.687482142074076,374.6823391845291,588.687482142074,0.38892887330493164,0.015698536567530258,Carmelo Anthony
2594,99,237,35,41,0.4177215189873418,0.8536585365853658,0.3695294580259636,5.679601744775567,9.690219581827606,104.67960174477557,147.6902195818276,0.4147865271470196,0.03095223657333983,Kyle Korver
2617,5,16,10,12,0.3125,0.8333333333333334,0.3648393635884426,5.6075158312659745,9.762305495337198,10.607515831265975,20.7623054953372,0.33814396712136424,0.08315003504109596,Udonis Haslem
2730,16,40,327,570,0.4,0.5736842105263158,0.3049246413844897,4.686637256158154,10.683184070445018,20.686637256158154,34.683184070445016,0.3736085246534646,0.06443294453684713,Dwight Howard
2738,92,312,48,76,0.2948717948717949,0.631578947368421,0.3182840051191549,4.89196828979706,10.477853036806113,96.89196828979706,230.47785303680612,0.29597098442721753,0.025190583615533307,Andre Iguodala
2747,1,11,2,2,0.09090909090909091,1.0,0.4032981379761151,6.1986203220446425,9.17120100455853,7.1986203220446425,19.17120100455853,0.2729870723387238,0.08515421036273631,JR Smith
2760,0,1,5,9,0.0,0.5555555555555556,0.30074140627565515,4.622341679968194,10.747479646634979,4.622341679968194,11.747479646634979,0.28236970873080114,0.10800945094294408,Anderson Varejao
2772,147,424,106,136,0.3466981132075472,0.7794117647058824,0.3523968189336074,5.416276143072876,9.953545183530297,152.41627614307288,286.9535451835303,0.346897462558711,0.022682058834561074,Trevor Ariza
101107,56,156,49,57,0.358974358974359,0.8596491228070176,0.3709118016496541,5.700848119283659,9.668973207319514,61.70084811928366,109.66897320731951,0.3600450046667891,0.03656137294372758,Marvin Williams
101108,374,1022,724,822,0.3659491193737769,0.8807785888077859,0.37578748184478733,5.775786452728515,9.594034873874659,379.77578645272854,657.5940348738746,0.36609488597525025,0.01494971557433092,Chris Paul
