person_id,clutch,garbage,neutral,games
2544,105.72666666666666,53.31000000000001,2957.7933333333335,71
200768,63.905,40.306666666666665,2309.5266666666666,60
201142,124.01,80.62166666666667,3178.063333333333,75
201143,74.22333333333333,59.589999999999996,2423.1766666666667,65
201144,107.16166666666668,53.77833333333332,3160.2549999999997,76
201145,65.565,53.32333333333333,2162.3166666666666,78
201566,50.64333333333332,77.09833333333333,2338.8283333333334,68
201569,67.405,75.76166666666668,2502.8766666666666,68
201572,118.185,92.27333333333333,3227.225,79
201587,66.68833333333335,57.4,2144.2166666666667,60
201935,83.27833333333332,66.85333333333334,2914.7783333333336,72
201942,177.07833333333335,48.535,3340.663333333333,79
201950,99.34833333333334,89.86666666666666,2714.4083333333333,69
201976,47.82833333333335,110.62833333333332,2427.3883333333333,73
202330,40.12833333333334,40.86999999999999,1853.2949999999998,51
202331,78.74833333333336,84.05166666666668,2982.175,74
202681,69.21333333333335,73.06166666666668,2370.325,58
202684,30.925,76.16500000000002,1069.7816666666668,48
202685,40.18833333333334,106.48833333333333,3073.936666666667,82
202692,59.76833333333333,42.94166666666667,2056.4366666666665,66
202695,90.70333333333335,60.45833333333333,2684.075,68
202696,174.285,42.568333333333335,3294.6716666666666,76
202699,81.32500000000002,80.085,2876.133333333333,70
202704,54.50499999999999,94.35666666666667,2949.773333333333,82
202710,96.45333333333335,45.395,2440.523333333333,60
202711,49.02499999999999,55.40666666666666,2003.8866666666665,57
203076,110.19833333333332,54.68500000000001,3128.57,76
203078,53.11166666666667,65.02166666666668,2148.515,53
203081,127.93833333333335,72.05999999999999,3055.366666666667,73
203083,67.07333333333334,49.985,2559.8416666666667,79
203084,99.88000000000001,50.073333333333345,3148.4966666666664,82
203109,41.708333333333336,40.02333333333333,1677.8266666666668,50
203114,70.275,31.649999999999995,2204.855,55
203468,55.016666666666666,94.42666666666668,2677.5783333333334,66
203471,122.51166666666664,80.69000000000001,3059.0583333333334,80
203482,69.87333333333335,104.02,2742.536666666667,78
203484,77.69833333333332,58.71833333333334,2948.8,76
203497,111.865,64.04499999999999,3224.163333333333,76
203501,60.59999999999999,104.07666666666665,2764.0283333333336,79
203507,120.98500000000004,100.50666666666666,3141.3450000000003,73
203903,72.15333333333335,68.27000000000001,2068.25,55
203915,97.775,61.70333333333334,2928.055,76
203924,79.55166666666668,49.15166666666667,2118.9933333333333,54
203932,89.35333333333332,47.255,2957.1533333333336,73
203937,106.52500000000002,68.87666666666665,2851.735,79
203944,43.068333333333335,36.15333333333333,1967.7566666666667,46
203954,36.31333333333335,54.691666666666656,1577.2133333333334,39
203957,40.30833333333332,74.71833333333332,1803.4516666666668,54
203991,113.84666666666668,47.256666666666675,2994.045,73
203992,115.50999999999999,69.60333333333334,3011.57,79
203994,91.06166666666668,53.75,3045.625,76
203999,109.57166666666669,78.6,3275.4950000000003,79
204001,77.83500000000004,63.38499999999999,2238.3016666666667,57
204060,36.66333333333334,73.90333333333334,2193.935,68
204456,32.11833333333333,102.55666666666666,2224.865,71
1626145,60.98833333333334,54.175,2588.016666666667,66
1626156,81.74666666666666,69.18833333333333,3083.3716666666664,76
1626157,103.63000000000001,53.49833333333333,2591.39,62
1626162,79.88166666666666,98.95166666666665,2705.295,68
1626164,90.33666666666667,73.15,2869.5033333333336,68
1626166,32.70333333333334,87.68499999999999,2379.2799999999997,78
1626167,76.115,45.21666666666667,3152.1816666666664,77
1626168,50.146666666666675,52.37666666666668,1924.95,58
1626171,48.228333333333346,96.375,2844.4649999999997,82
1626179,77.33833333333334,35.71,2525.1916666666666,61
1626181,80.33333333333333,94.49,2671.68,76
1626192,63.52166666666667,102.14333333333333,2584.675,76
1626196,53.69666666666667,47.41833333333333,1512.3466666666668,43
1626204,35.49500000000001,104.655,2008.5449999999998,61
1626220,107.20666666666669,103.145,2778.7966666666666,79
1627734,128.425,74.42500000000001,3488.07,82
1627736,92.295,75.03333333333333,3186.6600000000003,79
1627739,40.76333333333334,119.47666666666666,2078.0783333333334,65
1627741,87.44833333333335,78.21000000000001,3114.938333333333,84
1627742,66.06666666666666,104.36833333333333,2564.9,64
1627747,99.525,65.78166666666667,2586.835,68
1627749,142.09666666666666,66.33833333333334,3355.7149999999997,78
1627750,70.16166666666668,39.25,2366.8033333333337,59
1627751,66.36166666666665,33.055,2007.2533333333333,50
1627752,75.55166666666668,63.421666666666674,2952.3566666666666,78
1627759,93.49500000000002,89.26,2816.101666666667,70
1627763,75.03166666666668,42.656666666666666,1424.0416666666667,39
1627777,61.54666666666666,98.04666666666668,2808.235,82
1627783,131.7533333333333,55.32333333333334,3344.2149999999997,80
1627826,64.595,62.77166666666667,2583.04,68
1627827,110.83500000000001,70.36333333333333,2654.1966666666663,68
1627832,117.13833333333335,68.15833333333333,3017.0516666666667,73
1627884,60.779999999999994,87.21333333333334,2882.508333333333,76
1627936,156.84000000000003,41.10166666666667,2828.4,71
1628368,129.07000000000002,64.31000000000002,3119.05,74
1628369,96.47333333333336,100.73333333333333,3008.605,74
1628370,124.27666666666667,72.12000000000002,2521.1533333333336,72
1628372,57.423333333333325,81.77166666666668,1828.1316666666667,56
1628374,73.20666666666669,59.151666666666664,2275.61,55
1628378,82.175,59.22833333333334,2332.1549999999997,55
1628379,43.761666666666684,53.545,1428.7166666666667,39
1628380,50.75,93.02166666666668,2522.383333333333,69
1628381,73.45833333333333,82.36333333333333,2685.0183333333334,68
1628384,56.53666666666666,49.69666666666667,2055.0716666666667,50
1628386,117.44166666666666,65.05666666666667,3230.365,77
1628389,107.81166666666667,53.535,3033.7933333333335,71
1628392,50.1,59.294999999999995,2865.2466666666664,75
1628398,84.07666666666667,72.64,2898.1433333333334,70
1628401,76.58500000000001,98.36,2919.4433333333336,73
1628404,75.61833333333334,95.80999999999999,3116.81,81
1628415,94.325,58.225,2850.395,72
1628436,31.76833333333333,110.44166666666666,1768.555,62
1628470,73.94833333333334,33.22666666666667,1877.8983333333333,53
1628960,90.69333333333334,75.025,3112.7716666666665,75
1628963,31.938333333333336,45.075,1715.4166666666667,50
1628964,31.583333333333332,56.51166666666667,1279.7416666666666,56
1628966,56.78166666666667,50.64,1119.925,51
1628969,130.13,92.06666666666666,3322.42,82
1628970,71.46666666666667,98.90166666666667,2855.315,69
1628971,56.79166666666665,60.031666666666666,2533.4166666666665,67
1628973,94.27166666666666,74.30333333333331,3243.413333333333,77
1628976,43.62833333333334,38.0,2079.92,55
1628978,69.14166666666667,83.77,3110.4100000000003,81
1628983,98.25999999999998,70.42499999999998,3034.923333333333,75
1628988,71.08500000000002,99.55166666666668,2357.2633333333333,78
1628989,69.85666666666665,48.58000000000001,2343.608333333333,63
1628991,93.75666666666669,86.42166666666668,2799.2083333333335,66
1628997,80.575,51.31666666666667,2344.4816666666666,64
1629001,30.636666666666677,34.97333333333333,1395.1366666666665,38
1629006,52.03666666666667,56.24666666666667,1758.475,59
1629008,107.35166666666667,60.93833333333334,3298.9283333333337,81
1629012,74.4816666666667,141.59,3016.2366666666667,78
1629013,34.00666666666667,32.73999999999998,1297.7883333333334,46
1629014,71.2316666666667,41.201666666666675,1835.5283333333332,46
1629018,95.18333333333332,72.69166666666666,2761.1466666666665,71
1629021,36.54166666666667,94.47833333333334,2453.9033333333336,80
1629022,35.88666666666666,72.47166666666666,1795.4199999999998,58
1629023,96.33833333333334,65.49,2836.413333333333,73
1629026,50.69500000000001,81.26166666666668,1992.6766666666667,69
1629027,100.66333333333333,42.373333333333335,2300.3766666666666,54
1629029,82.06833333333334,84.22666666666666,2924.4433333333336,70
1629048,45.19666666666667,64.92333333333335,1389.9283333333333,57
1629060,41.720000000000006,70.13666666666668,2574.0333333333333,68
1629130,86.11500000000001,46.114999999999995,2631.6116666666667,68
1629234,30.628333333333337,74.895,2232.14,75
1629312,62.068333333333335,85.41333333333334,2090.451666666667,65
1629599,48.213333333333324,83.49166666666666,2170.2066666666665,68
1629611,80.76666666666667,107.47833333333332,2885.288333333333,75
1629614,75.9,54.816666666666656,2584.89,67
1629622,103.40500000000002,54.96000000000001,2920.4583333333335,70
1629627,67.89833333333335,109.26500000000001,2819.8633333333332,70
1629628,67.16833333333332,52.23,2412.355,58
1629629,42.458333333333336,32.431666666666665,1542.7016666666668,46
1629631,72.48666666666666,43.26833333333334,2277.1133333333332,57
1629632,168.00500000000002,51.925,3364.83,79
1629636,103.37166666666666,44.18500000000001,2362.0683333333336,57
1629638,77.28500000000001,79.42999999999999,3051.0983333333334,82
1629639,62.47,37.25333333333333,1739.4766666666667,42
1629640,93.39666666666666,72.79666666666667,2621.74,69
1629643,33.410000000000004,70.73333333333335,522.0966666666667,43
1629651,124.75,77.22833333333332,2910.3866666666668,71
1629652,103.41833333333332,55.04833333333333,3160.4733333333334,79
1629655,54.266666666666666,59.671666666666674,2856.8,74
1629661,93.05833333333334,71.08166666666666,2268.826666666667,58
1629673,93.37000000000002,80.53666666666666,3093.5916666666667,78
1629675,59.35999999999999,70.79833333333333,2869.523333333333,81
1629680,55.961666666666666,63.790000000000006,2169.0383333333334,65
1629684,65.22166666666666,91.50333333333333,2951.4416666666666,76
1629731,36.916666666666664,51.32833333333334,1957.7516666666668,54
1630162,115.75666666666666,67.03999999999999,3291.141666666667,79
1630166,76.71166666666667,74.76999999999998,2980.2633333333333,75
1630167,38.79833333333332,74.65666666666667,2858.2066666666665,82
1630168,63.236666666666665,41.19000000000001,2038.0066666666667,55
1630169,87.73333333333333,49.86666666666667,2794.1066666666666,69
1630170,96.82666666666667,74.61333333333333,2764.576666666667,68
1630171,124.0933333333333,49.714999999999996,2669.475,69
1630173,59.12666666666665,119.35833333333333,2412.023333333333,74
1630174,83.26666666666664,57.28833333333333,2789.57,72
1630175,66.155,89.09666666666666,2708.3416666666667,81
1630178,96.02333333333334,69.86166666666666,2876.9483333333333,70
1630180,98.94833333333332,44.79666666666667,2577.413333333333,63
1630182,40.82166666666668,72.55833333333334,2130.8616666666667,57
1630183,102.33166666666669,55.84833333333333,2908.101666666667,72
1630193,87.29666666666664,66.73833333333333,2640.898333333333,68
1630194,43.88,112.325,2779.5016666666666,82
1630198,84.19666666666666,73.22666666666667,2601.0899999999997,78
1630200,120.61,100.94833333333332,2972.288333333333,77
1630202,57.73333333333334,205.44,2784.7233333333334,82
1630208,40.71499999999999,101.07666666666665,2575.7149999999997,67
1630214,37.46500000000002,79.71666666666667,1629.78,53
1630215,32.736666666666665,92.21499999999999,837.49,37
1630217,54.688333333333325,42.82,1759.6866666666667,42
1630224,118.93666666666667,74.83500000000001,3366.2383333333332,82
1630230,42.925000000000004,163.03166666666667,2205.57,66
1630231,33.24666666666667,85.18333333333334,1181.7616666666665,58
1630241,38.131666666666646,111.33666666666667,1646.6916666666666,58
1630245,99.91333333333336,67.99,2968.6183333333333,76
1630249,39.87,36.81666666666668,715.9283333333333,21
1630256,49.17166666666667,85.40166666666667,1916.8816666666667,65
1630529,63.52,107.955,3058.0066666666667,76
1630530,46.43833333333334,92.69666666666667,2207.855,57
1630532,90.70333333333333,72.69333333333334,3027.6816666666664,72
1630533,37.010000000000005,61.81833333333334,1550.4683333333335,49
1630534,50.97333333333333,128.23333333333332,2593.575,78
1630537,35.306666666666665,64.18333333333334,1320.4583333333333,56
1630540,40.656666666666666,107.43499999999999,1911.695,65
1630549,33.59166666666667,107.22833333333334,2052.975,61
1630552,80.64666666666663,45.87166666666668,2328.895,56
1630557,70.14000000000001,98.97666666666666,2835.35,80
1630558,35.913333333333334,92.01,2073.105,71
1630559,120.10499999999999,80.32999999999998,3319.7799999999997,82
1630560,103.21333333333332,89.13333333333334,2575.605,66
1630567,109.41833333333332,59.69666666666667,2508.963333333333,60
1630573,38.75333333333333,154.39166666666668,2738.5266666666666,79
1630577,41.825,123.79833333333335,2518.7166666666667,74
1630578,101.73833333333333,47.97333333333332,2624.798333333333,63
