,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
mu_player[517],-4.73501,0.0163837,0.773914,0.762242,-5.9141,-4.78921,-3.39392,2437.51,1257.13,1.00113
mu_player[518],-5.76739,0.0219,0.98115,0.909716,-7.3471,-5.78142,-4.03208,2347.29,1152.41,1.00216
mu_player[519],-7.67063,0.0232275,1.08374,1.07598,-9.46097,-7.63142,-5.962,2246.65,1168.82,0.999397
mu_player[520],-6.19539,0.0248734,1.07672,1.07352,-7.87287,-6.1751,-4.46677,1889.93,1165.17,1.0009
mu_player[521],-6.45405,0.0226533,0.978329,0.957826,-8.08133,-6.40827,-4.86343,1916.34,1335.99,1.00003
mu_player[522],-2.95471,0.0177086,0.680689,0.678779,-4.00666,-2.99938,-1.77756,1584.53,1031.88,1.0045
mu_player[523],-4.38635,0.0170357,0.757193,0.787505,-5.53317,-4.4199,-3.10173,2180.03,1182.86,1.00212
mu_player[524],-7.25865,0.0268905,1.16367,1.20988,-9.20875,-7.2392,-5.40771,1930.37,1273.69,1.00188
mu_player[525],-2.67259,0.0190233,0.713359,0.693768,-3.73446,-2.71369,-1.43776,1544.04,1179.33,1.00124
mu_player[526],-3.13405,0.0148707,0.636696,0.606309,-4.09721,-3.17665,-2.00085,1962.73,1295.94,1.00758
mu_player[527],-7.78657,0.0239213,1.10472,1.10292,-9.57837,-7.78576,-6.01632,2199.96,1099.74,1.00534
mu_player[528],-4.17727,0.0219614,0.837748,0.853674,-5.47839,-4.21499,-2.79351,1603.42,1061.46,1.00156
mu_player[529],-5.04606,0.0201584,0.827124,0.82397,-6.33535,-5.09959,-3.64493,1786.47,1117.35,0.999923
mu_player[530],-7.42656,0.0261531,1.12603,1.12825,-9.25234,-7.4099,-5.59807,1903.62,1222.65,0.999878
mu_player[531],-7.55094,0.0245341,1.14704,1.10677,-9.49107,-7.52717,-5.67793,2202.47,987.373,1.00675
mu_player[532],-4.54346,0.0190327,0.912413,0.925053,-5.97149,-4.58648,-3.00305,2430.69,1526.7,1.00193
mu_player[533],-4.08826,0.0201874,0.735972,0.705658,-5.21807,-4.12427,-2.78788,1442.78,909.245,1.00234
mu_player[534],-5.27249,0.0231014,0.941771,0.918597,-6.84806,-5.29618,-3.69563,1817.8,1201.87,1.00369
