league,stat,n,intercept,slope,r2,src_mean,src_sd,dst_mean,dst_sd
ncaa,PTS,316,8.274828547635938,0.26433671743457726,0.08308765594310374,19.77006329113924,3.9037122054956876,13.500782181489521,3.579868151925822
ncaa,REB,316,1.1414412833976533,0.6256814489931201,0.5885009584623219,7.926772151898733,3.0189003297972263,6.101075569235965,2.462229136938523
ncaa,AST,316,0.6604432899825445,0.675643140402598,0.5338759971617327,3.3300632911392403,1.8382065065033346,2.9103777097472716,1.6997751394848382
ncaa,STL,316,0.549713810776565,0.3878423035530341,0.36147016903387474,1.476012658227848,0.6217324100553123,1.1221739602170908,0.4010721015533578
ncaa,BLK,316,0.1913278141365452,0.4772452793705402,0.6446427918521203,1.1109493670886077,1.1050985338820276,0.7215231551992726,0.6568755221366072
ncaa,TOV,316,0.6952319754178715,0.44480806437855913,0.20656468940239836,2.6765506329113924,0.773919704789602,1.8857832816543953,0.757426533080282
ncaa,FGM,316,2.664838550209031,0.3468251140388925,0.1326763385821178,6.971107594936709,1.4532857929596181,5.082593736800344,1.3837729181512994
ncaa,FGA,316,6.150640571536792,0.3883049822232395,0.13830643798064401,14.342848101265822,2.6187206006983086,11.720039948529442,2.734267052864274
ncaa,FTM,316,1.0593901154519214,0.2104510740181207,0.08674875197192333,4.055068802589324,1.4401593921236968,1.9127837001742192,1.0290348658040043
ncaa,FTA,316,1.1980519117686725,0.2688018858961384,0.13535212113101736,5.410331997122967,1.9143777269121434,2.652359355919547,1.3987091344666644
g_league,PTS,506,8.984269094771317,0.16606278324020735,0.09427044126335915,21.848399209486168,6.261315701587015,12.612475076841736,3.3864927050050557
g_league,REB,506,1.8379429978325375,0.5073062151260855,0.5683857241262777,8.433003952569171,3.766458332116965,6.116058315153723,2.534438571850451
g_league,AST,506,0.7101023237972321,0.4653595811870736,0.5006934108404446,4.50308300395257,2.5410726433695467,2.8056551445672295,1.671166813010622
g_league,STL,506,0.8866732362210719,0.14738062327457163,0.12281219920267905,1.5272332015810277,1.0683326435697016,1.1117578173557032,0.44928935954519544
g_league,BLK,506,0.2370215145151474,0.46837278605415567,0.5142999057902293,1.064920948616601,1.0928930013171252,0.7358015061461392,0.7137745775942909
g_league,TOV,506,1.1824647027372448,0.22058831103989537,0.1663766092501302,3.0063438735177868,1.3342881154501962,1.84562902020167,0.7215824777842704
g_league,FG3M,506,0.4168050836492717,0.4106186131984206,0.4027405353821858,2.1807707509881418,1.4947141380744062,1.3122701451237007,0.9671283245503427
