nba_api_id,name,position,games_in_2526_playoffs,actual_2526_po_mpg,rs_2425_mpg,projected_po_mpg,projected_PTS_per_game,actual_2526_po_PTS_per_game,projected_REB_per_game,actual_2526_po_REB_per_game,projected_AST_per_game,actual_2526_po_AST_per_game,projected_STL_per_game,actual_2526_po_STL_per_game,projected_BLK_per_game,actual_2526_po_BLK_per_game,projected_TOV_per_game,actual_2526_po_TOV_per_game,projected_FGA_per_game,actual_2526_po_FGA_per_game,projected_FG3A_per_game,actual_2526_po_FG3A_per_game,projected_FTA_per_game,actual_2526_po_FTA_per_game,projected_fantasy_points_simple
203999,Nikola Jokić,Center,77,38.672077922077925,36.785714285714285,33.642112202880675,24.9677122756404,28.116883116883116,11.383592694457493,12.441558441558442,7.111184477602245,8.064935064935066,1.4000044144439001,1.2597402597402598,0.5935745778931406,0.8051948051948052,2.845663078826175,3.3246753246753245,16.684935200383606,20.233766233766232,3.8350635944733447,4.7402597402597415,5.787371473135685,6.246753246753247,52.429874123577704
203507,Giannis Antetokounmpo,Forward,39,35.57222222222222,34.19402985074627,31.27190571787262,25.6448204668901,27.153846153846153,10.639975368321991,12.53846153846154,4.493037636874094,5.717948717948719,0.6680006960444511,1.1025641025641026,1.0749310763835978,1.076923076923077,2.6628463073766024,3.435897435897436,16.85691849095525,18.564102564102566,0.762620302639106,2.666666666666667,9.47867141693368,9.512820512820513,47.71829637409517
1641705,Victor Wembanyama,Forward,4,28.108333333333334,33.17391304347826,30.33896517949948,20.474016784298993,21.0,9.826643917861286,8.750000000000002,2.5390918586532174,2.0,0.8723067560040733,1.0,3.532772366977532,4.0,2.805318139145274,2.75,15.952589294131904,12.0,7.105421253125774,3.25,3.6906837264814953,5.750000000000001,46.48454650351191
1628983,Shai Gilgeous-Alexander,Guard,25,35.438,34.1578947368421,31.238858607600793,27.58256760329584,22.040000000000003,4.454901967547163,4.48,4.4457971171719395,4.96,1.3300912225912311,1.04,0.9354874195450371,0.72,2.085408697926962,1.8800000000000001,18.65756374853823,16.16,4.642140501340171,4.56,7.907066346333997,6.32,44.308472868592176
203076,Anthony Davis,Forward,26,34.172435897435896,33.411764705882355,30.55649071813902,20.866115285509302,24.307692307692307,10.334616598107239,11.03846153846154,2.467376145558671,2.730769230769231,0.8927000512047718,1.0384615384615383,1.9915138343255694,2.346153846153846,1.9189424512800548,1.8076923076923075,15.278453974245808,16.5,1.9719419465688428,2.0384615384615383,6.499187215820823,7.346153846153844,43.70241862688696
1629029,Luka Dončić,Forward,39,38.9059829059829,35.32,32.301653673942596,23.764536184327554,29.820512820512825,7.30744974982776,8.846153846153847,5.325442900684809,8.205128205128204,1.3735476381079526,1.358974358974359,0.3878020575568518,0.5128205128205128,3.1005355111036494,4.153846153846153,17.553432560520875,22.333333333333332,7.802210950206496,9.282051282051281,7.096267016949078,7.820512820512821,42.70515381103884
1628369,Jayson Tatum,Forward,79,37.71455696202531,36.43055555555556,33.31730432346775,22.644947476779926,24.645569620253166,7.729796920236847,8.797468354430379,4.161709258404325,5.037974683544303,0.8145257529354275,1.2151898734177213,0.4873174003690599,0.8227848101265823,2.5140127320789216,2.620253164556962,17.42261429618095,18.59493670886076,8.200522019736558,7.227848101265822,5.489376736036558,6.569620253164557,39.55478439650517
1626157,Karl-Anthony Towns,Center,42,33.477777777777774,34.97222222222222,31.983595991800147,20.61721667269973,19.42857142857143,11.414788389434829,10.809523809523807,2.143618225906635,3.119047619047619,0.7609385323475703,0.761904761904762,0.6412071057487629,1.0714285714285714,2.309523658177765,2.761904761904762,14.44947192481901,12.928571428571427,3.807385223449116,3.7619047619047614,5.102625193270345,5.809523809523809,39.427303334992715
1630595,Cade Cunningham,Guard,13,40.825641025641026,35.02857142857143,32.03512975590812,22.062246964955065,29.0,5.423796967650712,6.923076923076923,6.336502369707029,7.846153846153846,0.7826796332717867,1.3076923076923075,0.6990989472963656,1.076923076923077,3.8230864841621224,5.615384615384616,17.822544418591576,21.92307692307692,4.843071246192926,6.23076923076923,4.747954423636816,8.923076923076923,38.697806138238796
2544,LeBron James,Forward,53,39.05849056603773,34.957142857142856,31.969805266193788,20.61554224594161,27.150943396226417,6.967983869028915,8.71698113207547,5.710797590253198,7.660377358490566,0.7716559764651416,1.5849056603773584,0.5144313008407218,1.0566037735849056,3.216836523890458,3.7169811320754724,15.535093624990594,19.056603773584907,4.588172759551192,5.679245283018869,4.2474943627669886,7.226415094339623,38.184744582183235
