param,mean,sd,q5,q50,q95,rhat,ess
reb_per_36_at_27[9],1.31512,0.0629933,1.21676,1.31353,1.41907,1.0199,309.387
reb_per_36_at_27[10],2.30525,0.122394,2.10633,2.30326,2.50011,1.01721,783.114
reb_per_36_at_27[11],1.9661,0.0859968,1.82546,1.96717,2.10032,1.01674,611.91
reb_per_36_at_27[12],1.14515,0.06365,1.04333,1.14338,1.25356,1.00446,1040.77
reb_per_36_at_27[13],3.77979,0.105165,3.60616,3.7817,3.95182,1.0106,1640.85
reb_per_36_at_27[14],1.77408,0.0867144,1.6419,1.76716,1.91869,1.00929,933.048
reb_per_36_at_27[15],3.25548,0.0959492,3.09823,3.25506,3.41572,1.00349,1118.49
reb_per_36_at_27[16],3.50809,0.101099,3.34951,3.50309,3.67134,1.00651,397.869
reb_per_36_at_27[17],3.00259,0.125166,2.79737,3.00986,3.21043,1.00594,834.858
reb_per_36_at_27[18],1.36354,0.0712831,1.24948,1.36414,1.47716,1.01096,529.483
reb_per_36_at_27[19],2.89528,0.0933741,2.74481,2.88997,3.05587,1.01483,379.36
reb_per_36_at_27[20],1.65292,0.0823103,1.52796,1.64987,1.78315,1.01042,490.381
reb_per_36_at_27[21],1.21967,0.0765602,1.10226,1.21454,1.34913,1.00703,719.842
reb_per_36_at_27[22],1.95237,0.0734647,1.83401,1.94708,2.07825,1.01272,1869.43
reb_per_36_at_27[23],1.37276,0.0642702,1.26352,1.37475,1.47807,1.01887,1191.1
reb_per_36_at_27[24],3.11755,0.0893857,2.98347,3.11786,3.26604,1.01498,381.466
reb_per_36_at_27[25],1.23747,0.0620047,1.14016,1.23716,1.33966,1.00907,1260.83
reb_per_36_at_27[26],2.17907,0.085491,2.04096,2.17929,2.31071,1.01205,716.07
reb_per_36_at_27[27],1.47276,0.0761162,1.34894,1.47052,1.60033,1.0103,1523.18
reb_per_36_at_27[28],2.21127,0.0734547,2.09544,2.21098,2.33219,1.00762,1128.55
reb_per_36_at_27[29],1.77221,0.0752037,1.65108,1.76649,1.9027,1.01215,889.371
reb_per_36_at_27[30],1.12343,0.0581938,1.02773,1.12352,1.21771,1.01072,1915.09
reb_per_36_at_27[31],2.6146,0.0895594,2.46336,2.61362,2.75971,1.0204,277.627
reb_per_36_at_27[32],1.57641,0.0812344,1.42934,1.57936,1.70554,1.05294,83.9029
reb_per_36_at_27[33],2.515,0.0874169,2.35804,2.51548,2.65694,1.0168,270.432
reb_per_36_at_27[34],2.66961,0.0955044,2.52284,2.66129,2.84267,1.01955,246.4
reb_per_36_at_27[35],1.79546,0.0712641,1.68002,1.79395,1.91211,1.00568,1660.22
reb_per_36_at_27[36],1.78228,0.0716586,1.67248,1.78007,1.90144,1.01019,763.055
reb_per_36_at_27[37],1.70338,0.0752873,1.5815,1.7033,1.82792,1.00572,1371.68
reb_per_36_at_27[38],1.36769,0.0570967,1.27692,1.36563,1.46468,1.01172,2293.55
reb_per_36_at_27[39],2.13778,0.0833803,2.00828,2.13136,2.28519,1.03183,209.351
reb_per_36_at_27[40],1.98709,0.0822678,1.85698,1.98603,2.12088,1.00729,705.431
reb_per_36_at_27[41],1.80465,0.0974411,1.65202,1.80057,1.97086,1.01884,799.669
reb_per_36_at_27[42],1.39055,0.0677888,1.27727,1.3925,1.50612,1.00379,1359.58
reb_per_36_at_27[43],0.825947,0.0541416,0.721369,0.828264,0.911979,1.04319,113.354
reb_per_36_at_27[44],1.8156,0.0821855,1.67611,1.81305,1.95674,1.01971,293.724
reb_per_36_at_27[45],4.14796,0.123951,3.96018,4.14755,4.35314,1.01359,427.231
reb_per_36_at_27[46],1.42086,0.0701045,1.30828,1.42036,1.53781,1.00583,1000.54
reb_per_36_at_27[47],1.24832,0.0739724,1.1324,1.24382,1.37423,1.01359,237.609
reb_per_36_at_27[48],1.9647,0.079728,1.83982,1.95914,2.10204,1.00465,909.885
reb_per_36_at_27[49],2.79709,0.10538,2.64412,2.79506,2.97,1.02023,249.944
reb_per_36_at_27[50],1.88473,0.0988955,1.72502,1.88423,2.04741,1.0244,212.93
reb_per_36_position_at_27[1],1.98295,0.132084,1.76873,1.98187,2.19409,1.006,495.986
reb_per_36_position_at_27[2],1.9751,0.15269,1.73564,1.97693,2.22518,1.00265,757.608
reb_per_36_position_at_27[3],2.11121,0.22743,1.80108,2.0818,2.53601,1.00384,1011.45
reb_per_36_league_at_27,2.14668,0.436819,1.78051,2.05553,2.8443,1.01244,649.449
"age_curve[1,1]",2.35189,0.179785,2.06139,2.34624,2.65294,1.01068,360.281
"age_curve[1,2]",2.30209,0.171084,2.02426,2.29828,2.58507,1.0101,368.482
"age_curve[1,3]",2.25339,0.163178,1.9894,2.25223,2.52257,1.00939,378.31
"age_curve[1,4]",2.20577,0.156065,1.95364,2.20628,2.4608,1.00889,388.832
"age_curve[1,5]",2.1592,0.149741,1.91524,2.16092,2.40421,1.00828,401.496
"age_curve[1,6]",2.11365,0.144198,1.8781,2.11627,2.34384,1.00778,415.45
"age_curve[1,7]",2.06911,0.139423,1.84114,2.07079,2.28888,1.00705,436.493
"age_curve[1,8]",2.02555,0.135394,1.80585,2.02517,2.23997,1.00673,464.168
"age_curve[1,9]",1.98295,0.132084,1.76873,1.98187,2.19409,1.006,495.986
"age_curve[1,10]",1.94128,0.129459,1.73189,1.94004,2.14732,1.00567,531.957
"age_curve[1,11]",1.90053,0.127476,1.69617,1.9001,2.10421,1.00541,566.97
"age_curve[1,12]",1.86068,0.126089,1.65753,1.86048,2.06465,1.00607,599.594
"age_curve[1,13]",1.82169,0.125245,1.61927,1.82118,2.02365,1.00719,629.323
"age_curve[1,14]",1.78356,0.124889,1.58488,1.78403,1.98621,1.00837,657.346
"age_curve[1,15]",1.74627,0.124964,1.54553,1.74668,1.95101,1.00984,706.147
"age_curve[1,16]",1.70979,0.125414,1.50467,1.70879,1.91779,1.01249,755.176
"age_curve[1,17]",1.6741,0.126187,1.46737,1.67191,1.88382,1.01246,813.755
"age_curve[1,18]",1.6392,0.12723,1.42922,1.638,1.85166,1.01374,852.846
"age_curve[1,19]",1.60506,0.128496,1.39337,1.60387,1.81969,1.01756,908.942
"age_curve[1,20]",1.57166,0.129942,1.36047,1.56898,1.78987,1.01895,931.56
"age_curve[1,21]",1.53898,0.131528,1.32585,1.53567,1.76054,1.01784,917.895
"age_curve[1,22]",1.50702,0.133222,1.28997,1.50277,1.73159,1.01656,901.807
"age_curve[1,23]",1.47575,0.134992,1.2568,1.47096,1.7023,1.01674,886.949
"age_curve[1,24]",1.44516,0.136811,1.22462,1.43937,1.67664,1.01738,871.566
"age_curve[2,1]",2.21067,0.211356,1.88146,2.20591,2.57057,1.01663,282.306
