stan_idx,nba_api_id,name,mpg_at_27_mean,mpg_at_27_sd
1,1713,Vince Carter,17.8275961875,1.1688952300855346
2,2199,Tyson Chandler,16.5600639375,1.159165192587211
3,2544,LeBron James,17.2238859375,1.0274191595368931
4,2546,Carmelo Anthony,17.1209796875,1.1271798277365295
5,2594,Kyle Korver,17.799792874999998,1.1858723392609487
6,2730,Dwight Howard,16.599078875,1.14954078717492
7,2738,Andre Iguodala,17.808127,1.1961209495995797
8,2772,Trevor Ariza,17.1731865,1.050630877999143
9,101107,Marvin Williams,17.1176431875,1.0634693334688075
10,101108,Chris Paul,17.8950678125,1.1569508705948643
11,101133,Ian Mahinmi,16.6172239375,1.1350187564565821
12,101141,Ersan Ilyasova,17.111995750000002,1.051222776476013
13,101150,Lou Williams,17.8485546875,1.1193536554315742
14,200746,LaMarcus Aldridge,16.584059562500002,1.19142335007694
15,200752,Rudy Gay,17.117061687499998,1.0665899058334944
16,200755,JJ Redick,17.8138131875,1.192518154524215
17,200757,Thabo Sefolosha,17.1141173125,1.0398641148818568
18,200765,Rajon Rondo,17.8627160625,1.1540800458474472
19,200768,Kyle Lowry,17.906858562500002,1.1707700890500163
20,200782,P.J. Tucker,17.18918,1.0457455248589402
21,200794,Paul Millsap,17.1133053125,1.063328901482522
22,200826,J.J. Barea,17.7871655,1.233026676109341
23,201142,Kevin Durant,17.1762481875,1.060824080401277
24,201143,Al Horford,16.668425187500002,1.1377953849536566
25,201144,Mike Conley,17.8654665625,1.1608135013755154
26,201145,Jeff Green,17.111992687500003,1.0907100166074288
27,201152,Thaddeus Young,17.0917310625,1.0486249223942614
28,201158,Marco Belinelli,17.818875625,1.1637425576210398
29,201162,Jared Dudley,17.137972375,1.0682295987400645
30,201163,Wilson Chandler,17.15205575,1.067222400822311
31,201188,Marc Gasol,16.6271406875,1.174685868184885
32,201229,Anthony Tolliver,17.134521375,1.066952374256044
33,201565,Derrick Rose,17.7978784375,1.13846407942513
34,201566,Russell Westbrook,17.840144375,1.1691515235709866
35,201567,Kevin Love,17.09378025,1.0639710040914825
36,201568,Danilo Gallinari,17.138882375,1.0285330341082193
37,201569,Eric Gordon,17.8459115,1.1822898911562467
38,201571,D.J. Augustin,17.816347125,1.1726861534439785
39,201572,Brook Lopez,16.616194500000002,1.1680080929224121
40,201577,Robin Lopez,16.555262062500002,1.1702318726878431
41,201580,JaVale McGee,16.517872937499998,1.12293072702588
42,201584,Courtney Lee,17.8720014375,1.1636147184814585
43,201586,Serge Ibaka,17.140063375,1.0395382640305306
44,201587,Nicolas Batum,17.800876875,1.1705825355203425
45,201588,George Hill,17.7856681875,1.2270382765807326
46,201599,DeAndre Jordan,16.515014125,1.1687596072548385
47,201609,Goran Dragic,17.8245760625,1.1795863694991757
48,201933,Blake Griffin,17.1136689375,1.059159384047732
49,201935,James Harden,17.888511937500002,1.197009812679598
50,201937,Ricky Rubio,17.8513294375,1.1316511973891
51,201939,Stephen Curry,17.8983283125,1.158670177258029
52,201942,DeMar DeRozan,17.873257374999998,1.1820096269629572
53,201949,James Johnson,17.1507274375,1.0658904996191838
54,201950,Jrue Holiday,17.882183875,1.1770678104308538
55,201952,Jeff Teague,17.8626875625,1.127034899976065
56,201959,Taj Gibson,17.0719540625,1.068359759103176
57,201960,DeMarre Carroll,17.157335437500002,1.0622296732641832
58,201961,Wayne Ellington,17.8270701875,1.155168955604532
59,201976,Patrick Beverley,17.8525475,1.1681907271636982
60,201980,Danny Green,17.873855875,1.14640558699375
61,201988,Patty Mills,17.7853664375,1.2002253886842706
62,202066,Garrett Temple,17.8565169375,1.1378810971140045
63,202083,Wesley Matthews,17.8027764375,1.1715824935375052
64,202322,John Wall,17.873362375,1.1817736659506166
65,202323,Evan Turner,17.823391375,1.1664331929436034
66,202324,Derrick Favors,17.1032004375,1.0706045126380976
67,202326,DeMarcus Cousins,16.5979489375,1.1391976704017925
68,202329,Al-Farouq Aminu,17.133422687499998,1.0752183502045187
69,202330,Gordon Hayward,17.221870125,1.0722616444961017
70,202331,Paul George,17.1970470625,1.0633178651531587
71,202334,Ed Davis,16.580486375,1.1602667496051757
72,202335,Patrick Patterson,17.128453125,1.057059835748542
73,202339,Eric Bledsoe,17.844554125,1.149874894182182
74,202340,Avery Bradley,17.8276463125,1.1692307407699312
75,202355,Hassan Whiteside,16.597978,1.1206880756218476
76,202357,Nemanja Bjelica,17.1209749375,1.0620470705684946
77,202362,Lance Stephenson,17.182861687499997,1.0847550617136583
78,202397,Ish Smith,17.725430375,1.1737725384640585
79,202681,Kyrie Irving,17.9438014375,1.1306583286924852
80,202683,Enes Freedom,16.5642735,1.1253026661904122
81,202684,Tristan Thompson,16.584610750000003,1.1111357762204122
82,202685,Jonas Valančiūnas,16.624609874999997,1.1327887034670165
83,202687,Bismack Biyombo,16.52013325,1.161026753640689
84,202688,Brandon Knight,17.837879937500002,1.1401177136007694
85,202689,Kemba Walker,17.85249075,1.1446648224379647
86,202691,Klay Thompson,17.895713499999996,1.173889892523038
87,202692,Alec Burks,17.890191,1.138211223606585
88,202693,Markieff Morris,17.071505875,1.0649953093279259
89,202694,Marcus Morris Sr.,17.1443859375,1.0517802458491488
90,202695,Kawhi Leonard,17.155281187499998,1.097992538551533
91,202696,Nikola Vučević,16.6476421875,1.141845381680009
92,202697,Iman Shumpert,17.8015555625,1.1453824886774977
93,202699,Tobias Harris,17.1827776875,1.0437553979840788
94,202704,Reggie Jackson,17.7941500625,1.1924942871508843
95,202709,Cory Joseph,17.840609625,1.1299117269702352
96,202710,Jimmy Butler III,17.178424375,1.0726345925364609
97,202711,Bojan Bogdanović,17.190412625,1.0564681908915239
98,202722,Dāvis Bertāns,17.0833973125,1.1005524953740404
99,202734,E'Twaun Moore,17.83769725,1.1831241883377828
100,202738,Isaiah Thomas,17.8307124375,1.1471137166281984
101,202954,Brad Wanamaker,17.815999687500003,1.1435004242538138
102,203076,Anthony Davis,17.2197095,1.0393242582249054
103,203077,Michael Kidd-Gilchrist,17.143635749999998,1.031191115784042
104,203078,Bradley Beal,17.8891675,1.1433261925928007
105,203079,Dion Waiters,17.8322618125,1.1550012167679586
106,203081,Damian Lillard,17.8698104375,1.1996998540352952
107,203082,Terrence Ross,17.8680040625,1.141623269451112
108,203083,Andre Drummond,16.5634459375,1.1024787962228553
109,203084,Harrison Barnes,17.1726703125,1.0540749460960555
