state,overall_homeless,unsheltered,chronic_ind,ppl_in_families,individuals,shelt_es,shelt_th,year,population,cb_share,severe_share,renter_hh_total,unsheltered_share,chronic_share,family_share,es_share,th_share,homeless_per_10k
AK,2016.0,309.0,323.0,582.0,1434.0,1248.0,459.0,2018,737438.0,0.43150190571461133,0.19136920213237435,87443.0,0.15327380952380953,0.16021825396825398,0.28869047619047616,0.6190476190476191,0.22767857142857142,27.33789145663771
AK,1907.0,273.0,231.0,523.0,1384.0,1218.0,416.0,2019,731545.0,0.44851447357080415,0.20384894788036986,88927.0,0.14315679077084426,0.1211326691137913,0.27425275301520713,0.6386995280545359,0.21814368117461982,26.06811611042383
AK,1949.0,224.0,327.0,504.0,1445.0,1347.0,378.0,2020,736990.0,,,,0.11493073370959467,0.16777834787070292,0.258594150846588,0.6911236531554643,0.193945613134941,26.44540631487537
AK,1949.0,152.0,351.0,502.0,1447.0,1360.0,437.0,2021,732673.0,0.4966152113503654,0.2257219454271689,90166.0,0.07798871216008209,0.18009235505387378,0.25756798358132377,0.6977937403796819,0.224217547460236,26.601225922068917
AK,2320.0,357.0,576.0,560.0,1760.0,1598.0,365.0,2022,733583.0,0.4309448289686236,0.20264358735511562,92988.0,0.15387931034482757,0.2482758620689655,0.2413793103448276,0.6887931034482758,0.15732758620689655,31.62559655826266
AK,2614.0,468.0,704.0,559.0,2055.0,1764.0,382.0,2023,733406.0,0.4506214069320865,0.2074377996708094,93277.0,0.17903596021423107,0.26931905126243305,0.21384850803366487,0.6748278500382555,0.14613618974751338,35.64192275492701
AK,2686.0,479.0,533.0,667.0,2019.0,1742.0,465.0,2024,740133.0,0.41465565137570354,0.18436118559315892,91753.0,0.17833209233060313,0.19843633655994042,0.24832464631422188,0.6485480268056589,0.1731198808637379,36.29077476615689
AL,5452.0,1656.0,993.0,1268.0,4184.0,1452.0,2344.0,2007,4627851.0,0.48128046004337577,0.2507541418930588,528488.0,0.3037417461482025,0.18213499633162142,0.23257520176082172,0.2663242846661775,0.42993396918561994,11.780846012544483
AL,5387.0,1544.0,1052.0,1301.0,4086.0,1534.0,2309.0,2008,4661900.0,0.48105708750232223,0.24371665914700497,526710.0,0.28661592723222573,0.19528494523853723,0.2415073324670503,0.28475960645999626,0.428624466307778,11.555374418155688
AL,6080.0,2167.0,1189.0,1394.0,4686.0,1419.0,2494.0,2009,4708708.0,0.5159272703109037,0.27443496606889217,562172.0,0.35641447368421053,0.19555921052631578,0.2292763157894737,0.23338815789473685,0.41019736842105264,12.91224684138409
AL,6046.0,2155.0,1043.0,1493.0,4553.0,1428.0,2463.0,2010,4785298.0,0.5404977805486817,0.2810152041489541,542306.0,0.35643400595435,0.17251075090969237,0.2469401257029441,0.2361892160105855,0.4073767780350645,12.634531851516876
AL,5558.0,1809.0,1046.0,1233.0,4325.0,1615.0,2100.0,2011,4802740.0,0.5382795703383347,0.2775737923799533,555329.0,0.3254767902123066,0.1881971932349766,0.22184238934868658,0.2905721482547679,0.3778337531486146,11.572560663288039
AL,5209.0,1545.0,910.0,1384.0,3825.0,1663.0,1969.0,2012,4822023.0,0.49823034157956975,0.26661298533769545,576604.0,0.29660203493952775,0.1746976387022461,0.26569399116913034,0.31925513534267613,0.3779996160491457,10.802520021161241
AL,4689.0,1443.0,768.0,1302.0,3387.0,1555.0,1660.0,2013,4833722.0,0.4997281463124426,0.25574340163821396,582422.0,0.3077415227127319,0.163787587971849,0.27767114523352526,0.33162721262529327,0.35402004691831945,9.70059924836389
AL,4561.0,1043.0,618.0,1446.0,3115.0,1851.0,1636.0,2014,4849377.0,0.516730054271185,0.2703225580880382,595137.0,0.22867792150844113,0.13549660162245122,0.31703573777680333,0.4058320543740408,0.35869326901995174,9.405331860154407
AL,3970.0,1027.0,557.0,1102.0,2868.0,1574.0,1349.0,2015,4858979.0,0.49699212873335963,0.2507115130759529,592795.0,0.25869017632241814,0.14030226700251888,0.27758186397984885,0.3964735516372796,0.3397984886649874,8.17044074485607
AL,4111.0,1218.0,390.0,1092.0,3019.0,1601.0,1258.0,2016,4863300.0,0.49061468543395165,0.2472385806153877,584380.0,0.2962782777912917,0.09486742884942836,0.2656288007783994,0.38944295791778155,0.30600827049379714,8.4531079719532
AL,3793.0,1137.0,344.0,808.0,2985.0,1644.0,978.0,2017,4874747.0,0.47420515482433373,0.24195582537780927,588466.0,0.2997627208014764,0.09069338254679674,0.21302399156340626,0.43343000263643555,0.2578433957289744,7.780916630134857
AL,3434.0,1010.0,472.0,864.0,2570.0,1519.0,865.0,2018,4887871.0,0.47910442190701247,0.2440387444777726,592927.0,0.29411764705882354,0.1374490390215492,0.2516016307513104,0.4423412929528247,0.2518928363424578,7.025553661297526
AL,3261.0,1191.0,350.0,742.0,2519.0,1503.0,538.0,2019,4903185.0,0.4709142726238502,0.23793336413653324,592353.0,0.36522539098436063,0.10732904017172647,0.2275375651640601,0.4609015639374425,0.1649800674639681,6.6507790344439375
AL,3351.0,1299.0,483.0,854.0,2497.0,1421.0,603.0,2020,4893186.0,,,,0.38764547896150403,0.144136078782453,0.25484929871680095,0.42405252163533275,0.17994628469113697,6.848298838425516
AL,2556.0,930.0,392.0,492.0,2064.0,1095.0,504.0,2021,5039877.0,0.49959012393871377,0.2590572850590417,589627.0,0.36384976525821594,0.15336463223787167,0.19248826291079812,0.4284037558685446,0.19718309859154928,5.071552341455952
AL,3752.0,1580.0,539.0,1270.0,2482.0,1641.0,505.0,2022,5074296.0,0.4948974961526059,0.27181622103834263,600115.0,0.4211087420042644,0.14365671641791045,0.3384861407249467,0.43736673773987206,0.13459488272921108,7.394129156044504
AL,3304.0,1456.0,690.0,795.0,2509.0,1396.0,443.0,2023,5108468.0,0.4946561213634892,0.2566671291799639,612789.0,0.4406779661016949,0.20883777239709442,0.2406174334140436,0.4225181598062954,0.13407990314769977,6.467692466704303
AL,4601.0,2698.0,781.0,1171.0,3430.0,1408.0,435.0,2024,5157699.0,0.4818483252792491,0.24443339614100387,598257.0,0.5863942621169311,0.1697457074549011,0.2545098891545316,0.30602043034123017,0.09454466420343403,8.920644651810818
AR,3836.0,1551.0,852.0,849.0,2987.0,1251.0,1034.0,2007,2834797.0,0.4746342871808033,0.23859874246118312,355895.0,0.4043274244004171,0.22210636079249219,0.2213242961418144,0.3261209593326382,0.26955161626694474,13.531833143607813
AR,3255.0,1235.0,893.0,630.0,2625.0,1048.0,972.0,2008,2855390.0,0.48215119979682,0.2400973257370763,363402.0,0.3794162826420891,0.27434715821812594,0.1935483870967742,0.32196620583717356,0.29861751152073734,11.399493589317046
AR,2852.0,1122.0,406.0,671.0,2181.0,652.0,1078.0,2009,2889450.0,0.48484947217515967,0.250189566721562,382087.0,0.39340813464235624,0.1423562412342216,0.235273492286115,0.22861150070126227,0.37798036465638146,9.870390558756856
