coc_number,rent_2012,rent_2024,income_2012,income_2024,homeless_per_10k_2012,homeless_per_10k_2024,d_rent,d_income,d_homeless
LA-502,697.3787967617599,976.5524725497369,42524.97512692255,54207.183225167726,16.59922371789578,6.028573788091502,279.173675787977,11682.208098245173,-10.570649929804276
LA-503,909.1436883245727,1218.2558494119758,43299.76463255365,61258.661019989464,59.929644089052296,17.772323578519693,309.112161087403,17958.896387435816,-42.1573205105326
LA-505,592.4570684680881,866.28281311483,36347.072315811696,48281.01525357035,7.226937072218754,3.9930936352337083,273.8257446467419,11933.942937758657,-3.2338434369850457
LA-506,838.518494320017,1165.6915770352155,52187.16998975665,72160.40701701747,4.872967389960981,3.6900369003690034,327.17308271519846,19973.237027260817,-1.1829304895919774
LA-507,656.9592152512189,901.7336551330262,39687.16219179504,53262.5126558108,6.1008654791613255,4.802808994233384,244.77443988180733,13575.350464015763,-1.2980564849279412
LA-508,756.9618272876625,1055.5520115724069,51519.74531723429,66251.64580425537,,,298.5901842847444,14731.900487021085,
LA-509,746.4926080274253,1099.6524906482903,48153.51277630043,67132.73012317232,7.464777276711883,7.076175069812838,353.159882620865,18979.217346871897,-0.3886022068990451
MA-500,1251.0,2129.0,52700.0,95631.0,85.176650022255,89.59726802769038,878.0,42931.0,4.420618005435372
MA-502,1026.0,1756.0000000000002,66918.0,101883.0,44.96383343832135,119.46912266220649,730.0000000000002,34965.0,74.50528922388514
MA-503,1144.0652893787378,1675.5823036947177,61768.490436415756,100045.1978778212,15.008205035170327,23.50185953309639,531.5170143159798,38276.70744140545,8.493654497926062
MA-504,776.0,1136.0,49729.0,71306.0,52.21418927002683,64.477259908732,360.0,21577.0,12.263070638705166
MA-505,802.0,1245.0,55995.00000000001,85625.0,65.58723207141955,124.12094159262223,443.0,29629.999999999993,58.53370952120268
MA-506,900.0,1426.0,65968.0,95939.0,19.32179515701417,23.685177651123603,526.0,29971.0,4.363382494109434
MA-507,835.4283993853905,1242.765387608236,54705.342893924506,80709.16503220181,19.888270635814422,26.656385050233833,407.33698822284555,26003.822138277304,6.768114414419411
MA-508,1268.0,2201.0,81420.00000000001,130847.0,,,933.0,49426.999999999985,
MA-509,1268.0,2201.0,81420.0,130847.0,44.59483067756558,68.68523405389998,933.0,49427.0,24.090403376334393
MA-510,1026.0,1755.9999999999998,66918.0,101883.0,,,729.9999999999998,34965.0,
MA-510_&_MA-516_Shared_Jurisdiction,1268.0,2201.0,81420.0,130847.0,,,933.0,49427.0,
