cycle_or_week,period_label,year,geography,geo_type,eviction_risk_share,behind_on_rent_share
wk43,2022 Week 43,2022,ID,state,,0.030957
wk43,2022 Week 43,2022,IL,state,0.505892,0.173719
wk43,2022 Week 43,2022,IN,state,0.250778,0.173965
wk43,2022 Week 43,2022,KS,state,0.482396,0.121761
wk43,2022 Week 43,2022,KY,state,0.479013,0.135083
wk43,2022 Week 43,2022,LA,state,0.581358,0.234585
wk43,2022 Week 43,2022,Los Angeles Metro Area,metro,0.370196,0.185324
wk43,2022 Week 43,2022,MA,state,0.225507,0.129223
wk43,2022 Week 43,2022,MD,state,0.188577,0.143339
wk43,2022 Week 43,2022,ME,state,,0.108829
wk43,2022 Week 43,2022,MI,state,0.501096,0.151244
wk43,2022 Week 43,2022,MN,state,0.395562,0.17693
wk43,2022 Week 43,2022,MO,state,0.473676,0.135336
wk43,2022 Week 43,2022,MS,state,0.214126,0.247297
wk43,2022 Week 43,2022,MT,state,0.506897,0.048679
wk43,2022 Week 43,2022,Miami Metro Area,metro,0.447284,0.248465
wk43,2022 Week 43,2022,NC,state,0.658595,0.116985
wk43,2022 Week 43,2022,ND,state,0.350497,0.057217
wk43,2022 Week 43,2022,NE,state,0.590973,0.073874
wk43,2022 Week 43,2022,NH,state,0.314716,0.076155
wk43,2022 Week 43,2022,NJ,state,0.350174,0.16942
wk43,2022 Week 43,2022,NM,state,0.397773,0.132618
wk43,2022 Week 43,2022,NV,state,0.339582,0.14861
wk43,2022 Week 43,2022,NY,state,0.376747,0.143181
wk43,2022 Week 43,2022,New York Metro Area,metro,0.250004,0.161626
wk43,2022 Week 43,2022,OH,state,0.49112,0.114933
wk43,2022 Week 43,2022,OK,state,0.469816,0.091511
wk43,2022 Week 43,2022,OR,state,0.317954,0.097252
wk43,2022 Week 43,2022,PA,state,0.357736,0.165107
wk43,2022 Week 43,2022,Philadelphia Metro Area,metro,0.387102,0.155202
wk43,2022 Week 43,2022,Phoenix Metro Area,metro,0.510688,0.084495
wk43,2022 Week 43,2022,RI,state,,0.090897
wk43,2022 Week 43,2022,Riverside Metro Area,metro,0.329481,0.128819
wk43,2022 Week 43,2022,SC,state,0.707177,0.129613
wk43,2022 Week 43,2022,SD,state,,0.109792
wk43,2022 Week 43,2022,San Francisco Metro Area,metro,0.518834,0.131929
wk43,2022 Week 43,2022,Seattle Metro Area,metro,0.344972,0.103697
wk43,2022 Week 43,2022,TN,state,0.34585,0.122515
wk43,2022 Week 43,2022,TX,state,0.290813,0.119182
wk43,2022 Week 43,2022,US,US,0.398084,0.133742
wk43,2022 Week 43,2022,UT,state,0.306085,0.101574
wk43,2022 Week 43,2022,VA,state,0.269535,0.11064
wk43,2022 Week 43,2022,VT,state,0.536669,0.113833
wk43,2022 Week 43,2022,WA,state,0.353757,0.075469
wk43,2022 Week 43,2022,WI,state,0.349318,0.134275
wk43,2022 Week 43,2022,WV,state,0.433515,0.178098
wk43,2022 Week 43,2022,WY,state,0.712854,0.087762
wk43,2022 Week 43,2022,Washington DC Metro Area,metro,0.171619,0.149123
wk44,2022 Week 44,2022,AK,state,0.198437,0.168182
wk44,2022 Week 44,2022,AL,state,0.441077,0.1477
wk44,2022 Week 44,2022,AR,state,0.791726,0.154037
wk44,2022 Week 44,2022,AZ,state,0.278992,0.048305
wk44,2022 Week 44,2022,Atlanta Metro Area,metro,0.655288,0.129995
wk44,2022 Week 44,2022,Boston Metro Area,metro,0.395048,0.140842
wk44,2022 Week 44,2022,CA,state,0.300035,0.112569
wk44,2022 Week 44,2022,CO,state,0.297195,0.104169
wk44,2022 Week 44,2022,CT,state,0.404591,0.165226
wk44,2022 Week 44,2022,Chicago Metro Area,metro,0.329655,0.192755
wk44,2022 Week 44,2022,DC,state,0.303767,0.095252
wk44,2022 Week 44,2022,DE,state,0.144784,0.222697
wk44,2022 Week 44,2022,Dallas Metro Area,metro,0.481544,0.114794
wk44,2022 Week 44,2022,Detroit Metro Area,metro,0.417469,0.180791
wk44,2022 Week 44,2022,FL,state,0.422013,0.150891
wk44,2022 Week 44,2022,GA,state,0.598903,0.114077
wk44,2022 Week 44,2022,HI,state,0.271423,0.139303
wk44,2022 Week 44,2022,Houston Metro Area,metro,0.144895,0.279628
wk44,2022 Week 44,2022,IA,state,,0.06547
wk44,2022 Week 44,2022,ID,state,,0.052007
wk44,2022 Week 44,2022,IL,state,0.237364,0.150491
wk44,2022 Week 44,2022,IN,state,0.426491,0.153856
wk44,2022 Week 44,2022,KS,state,0.243009,0.137233
wk44,2022 Week 44,2022,KY,state,0.57603,0.112288
wk44,2022 Week 44,2022,LA,state,0.602386,0.179702
wk44,2022 Week 44,2022,Los Angeles Metro Area,metro,0.27259,0.143947
wk44,2022 Week 44,2022,MA,state,0.421168,0.143882
wk44,2022 Week 44,2022,MD,state,0.338829,0.171138
wk44,2022 Week 44,2022,ME,state,0.328123,0.077777
wk44,2022 Week 44,2022,MI,state,0.351538,0.128293
wk44,2022 Week 44,2022,MN,state,0.345871,0.102385
wk44,2022 Week 44,2022,MO,state,0.255297,0.121658
wk44,2022 Week 44,2022,MS,state,0.544759,0.147214
wk44,2022 Week 44,2022,MT,state,0.335697,0.101139
wk44,2022 Week 44,2022,Miami Metro Area,metro,0.386036,0.128081
wk44,2022 Week 44,2022,NC,state,0.545327,0.093783
wk44,2022 Week 44,2022,ND,state,0.827733,0.125182
wk44,2022 Week 44,2022,NE,state,0.323116,0.08599
wk44,2022 Week 44,2022,NH,state,0.310548,0.106918
wk44,2022 Week 44,2022,NJ,state,0.309729,0.144254
wk44,2022 Week 44,2022,NM,state,0.283969,0.109312
wk44,2022 Week 44,2022,NV,state,0.426374,0.133302
wk44,2022 Week 44,2022,NY,state,0.19162,0.173796
wk44,2022 Week 44,2022,New York Metro Area,metro,0.20202,0.192879
wk44,2022 Week 44,2022,OH,state,0.31764,0.110408
wk44,2022 Week 44,2022,OK,state,0.424518,0.114838
wk44,2022 Week 44,2022,OR,state,0.509732,0.122651
wk44,2022 Week 44,2022,PA,state,0.390631,0.120683
wk44,2022 Week 44,2022,Philadelphia Metro Area,metro,0.334746,0.100165
wk44,2022 Week 44,2022,Phoenix Metro Area,metro,0.372297,0.032961
wk44,2022 Week 44,2022,RI,state,0.342975,0.177044
wk44,2022 Week 44,2022,Riverside Metro Area,metro,0.727727,0.150105
wk44,2022 Week 44,2022,SC,state,0.403015,0.068574
wk44,2022 Week 44,2022,SD,state,0.369892,0.098157
wk44,2022 Week 44,2022,San Francisco Metro Area,metro,0.390701,0.113504
wk44,2022 Week 44,2022,Seattle Metro Area,metro,0.418438,0.080503
wk44,2022 Week 44,2022,TN,state,0.37538,0.076058
wk44,2022 Week 44,2022,TX,state,0.274909,0.173919
wk44,2022 Week 44,2022,US,US,0.347093,0.12686
wk44,2022 Week 44,2022,UT,state,0.279195,0.061718
wk44,2022 Week 44,2022,VA,state,0.324075,0.102546
wk44,2022 Week 44,2022,VT,state,0.248111,0.027103
wk44,2022 Week 44,2022,WA,state,0.462122,0.072002
wk44,2022 Week 44,2022,WI,state,0.403816,0.130082
wk44,2022 Week 44,2022,WV,state,0.862406,0.082764
wk44,2022 Week 44,2022,WY,state,0.057309,0.101527
wk44,2022 Week 44,2022,Washington DC Metro Area,metro,0.262053,0.134188
wk45,2022 Week 45,2022,AK,state,0.511331,0.128017
wk45,2022 Week 45,2022,AL,state,0.648526,0.183176
wk45,2022 Week 45,2022,AR,state,0.580197,0.224067
wk45,2022 Week 45,2022,AZ,state,0.364533,0.049664
wk45,2022 Week 45,2022,Atlanta Metro Area,metro,0.341166,0.225048
wk45,2022 Week 45,2022,Boston Metro Area,metro,0.421894,0.079607
wk45,2022 Week 45,2022,CA,state,0.558551,0.14223
wk45,2022 Week 45,2022,CO,state,0.389279,0.073275
wk45,2022 Week 45,2022,CT,state,0.371879,0.15061
wk45,2022 Week 45,2022,Chicago Metro Area,metro,0.613428,0.212579
wk45,2022 Week 45,2022,DC,state,0.570497,0.117357
wk45,2022 Week 45,2022,DE,state,0.275852,0.207236
wk45,2022 Week 45,2022,Dallas Metro Area,metro,0.230057,0.18858
wk45,2022 Week 45,2022,Detroit Metro Area,metro,0.686186,0.162065
wk45,2022 Week 45,2022,FL,state,0.778792,0.164407
wk45,2022 Week 45,2022,GA,state,0.499646,0.209735
wk45,2022 Week 45,2022,HI,state,0.121712,0.103843
wk45,2022 Week 45,2022,Houston Metro Area,metro,0.124457,0.230928
wk45,2022 Week 45,2022,IA,state,0.331559,0.135489
wk45,2022 Week 45,2022,ID,state,0.46349,0.096725
wk45,2022 Week 45,2022,IL,state,0.632856,0.18557
wk45,2022 Week 45,2022,IN,state,0.581552,0.172537
wk45,2022 Week 45,2022,KS,state,0.258642,0.050948
wk45,2022 Week 45,2022,KY,state,0.637739,0.145282
wk45,2022 Week 45,2022,LA,state,0.763673,0.210299
wk45,2022 Week 45,2022,Los Angeles Metro Area,metro,0.546032,0.115794
wk45,2022 Week 45,2022,MA,state,0.392606,0.095934
wk45,2022 Week 45,2022,MD,state,0.221279,0.201108
wk45,2022 Week 45,2022,ME,state,0.296551,0.115464
wk45,2022 Week 45,2022,MI,state,0.478551,0.105997
wk45,2022 Week 45,2022,MN,state,0.352341,0.086582
wk45,2022 Week 45,2022,MO,state,0.503703,0.128415
wk45,2022 Week 45,2022,MS,state,0.684465,0.212682
wk45,2022 Week 45,2022,MT,state,0.636242,0.105969
wk45,2022 Week 45,2022,Miami Metro Area,metro,0.597393,0.186104
wk45,2022 Week 45,2022,NC,state,0.192314,0.192562
wk45,2022 Week 45,2022,ND,state,0.878108,0.100804
wk45,2022 Week 45,2022,NE,state,0.372365,0.065788
wk45,2022 Week 45,2022,NH,state,0.258572,0.107244
wk45,2022 Week 45,2022,NJ,state,0.268811,0.144427
wk45,2022 Week 45,2022,NM,state,0.416782,0.107762
