# contract_version=1.1 mode=production target_season=2025-26 train_seasons=2019-20-2020-21-2021-22-2022-23-2023-24-2024-25 source=v6.1_LOCKED_forward_rookie_aware note=as_if_25-26_unplayed
source,player_name,team,position,nba_api_id,games_proj,minutes_proj,PTS_proj,PTS_stddev_per_game,REB_proj,REB_stddev_per_game,AST_proj,AST_stddev_per_game,STL_proj,STL_stddev_per_game,BLK_proj,BLK_stddev_per_game,TOV_proj,TOV_stddev_per_game,FGM_proj,FGM_stddev_per_game,FGA_proj,FGA_stddev_per_game,FG_pct_proj,FTM_proj,FTM_stddev_per_game,FTA_proj,FTA_stddev_per_game,FT_pct_proj,3PM_proj,3PM_stddev_per_game,3PA_proj,3PA_stddev_per_game,3P_pct_proj,projection_method,years_in_league,draft_year,draft_pick,draft_round,pre_nba_league,pre_nba_team,cohort_size_n,auction_value_seed,resolve_value
nba_projections,Terry Rozier,MIA,Guard,1626179,64.0,25.8594,10.9262,2.2484,3.8468,0.5218,2.7427,0.6659,0.6055,0.2102,0.0356,0.1153,1.0330,0.3428,4.0038,0.8207,9.6481,1.5128,0.4150,1.5088,0.7123,1.8056,0.7475,0.8356,1.4099,0.3825,4.3179,0.9095,0.3265,cohort_regression,10,2015,16,1,NCAA_D1,Louisville,,1.00,1.00
nba_projections,Pat Connaughton,MIL,Guard,1626192,41.0,14.7805,6.3186,1.2341,2.6241,0.2982,1.8208,0.3806,0.2678,0.1202,0.2678,0.0659,0.6426,0.1960,2.3451,0.4234,5.2156,0.9801,0.4496,0.6375,0.3528,0.8270,0.4272,0.7709,0.9910,0.3809,2.9114,0.6951,0.3404,cohort_regression,10,2015,41,2,NCAA_D1,Notre Dame,,1.00,1.00
nba_projections,Ben Simmons,BKN,Guard,1627732,51.0,21.9412,4.8601,1.8487,4.9545,0.4427,5.0016,0.5650,0.7550,0.1784,0.5190,0.0978,1.3684,0.2909,2.2073,0.6764,4.2802,1.2707,0.5157,0.4455,0.5538,0.6086,0.6342,0.7320,0.0000,0.0336,0.0000,0.7501,,cohort_regression,9,2016,1,1,NCAA_D1,LSU,,1.00,1.00
nba_projections,Malik Beasley,DET,Guard,1627736,82.0,27.8659,15.9098,2.3092,2.2421,0.5622,1.5522,0.7176,0.9363,0.2265,0.0739,0.1243,0.9363,0.3694,5.5616,0.9107,13.0050,1.5723,0.4277,0.9829,0.5459,1.3658,0.8055,0.7197,3.8037,0.3946,9.4386,0.8805,0.4030,cohort_regression,9,2016,19,1,NCAA_D1,Florida St.,,23.54,23.54
nba_projections,Dejounte Murray,NOP,Guard,1627749,31.0,32.6452,20.1306,2.7693,6.4312,0.6587,7.5496,0.8407,1.5379,0.2654,0.2796,0.1456,2.8661,0.4328,7.5167,1.1025,17.5640,1.8368,0.4280,3.0614,0.5830,3.7996,0.9436,0.8057,2.0358,0.5022,6.1064,1.0221,0.3334,cohort_regression,9,2016,29,1,NCAA_D1,Washington,,1.00,1.00
nba_projections,Malcolm Brogdon,WAS,Guard,1627763,24.0,23.5417,12.5450,2.2987,3.4367,0.4750,5.2410,0.6062,0.6873,0.1914,0.0859,0.1050,1.5465,0.3121,4.3565,0.9869,9.7488,1.5391,0.4469,2.7170,0.3894,3.2483,0.6805,0.8365,1.1148,0.9359,3.0652,1.0760,0.3637,cohort_regression,9,2016,36,2,NCAA_D1,Virginia,,1.00,1.00
nba_projections,Georges Niang,CLE,Forward,1627777,79.0,21.4684,10.4911,1.7909,3.1010,0.5991,1.2404,0.4528,0.3578,0.1745,0.1908,0.1446,0.9541,0.2846,3.8248,0.7061,8.3366,1.2117,0.4588,0.6273,0.4116,0.7894,0.6206,0.7946,2.2143,0.3023,5.5626,0.6790,0.3981,cohort_regression,9,2016,50,2,NCAA_D1,Iowa St.,,7.36,7.36
nba_projections,Gary Payton II,GSW,Guard,1627780,62.0,14.8871,7.1969,1.2235,2.8244,0.3004,1.2651,0.3834,0.9121,0.1210,0.2059,0.0664,0.6767,0.1974,3.0689,0.4612,5.5518,0.8021,0.5528,0.4738,0.3605,0.6305,0.4303,0.7514,0.5853,0.1815,1.6772,0.3988,0.3490,cohort_regression,9,,,,G_LEAGUE,RAP,,1.00,1.00
nba_projections,Damion Lee,PHX,Guard,1627814,25.0,5.8800,3.6440,0.4997,0.7021,0.1186,0.2633,0.1514,0.1755,0.0478,0.0000,0.0262,0.4388,0.0780,1.2002,0.1873,2.7499,0.3135,0.4365,0.6604,0.1521,0.8121,0.1700,0.8132,0.5831,0.0997,1.5848,0.1508,0.3679,cohort_regression,8,,,,G_LEAGUE,SCW,,1.00,1.00
nba_projections,Guerschon Yabusele,PHI,Forward,1627824,70.0,27.0429,10.9923,2.2880,5.4824,0.7547,2.2668,0.5703,0.8434,0.2198,0.2109,0.1822,1.2124,0.3585,4.0362,0.8177,8.1446,1.6128,0.4956,1.4313,0.6543,1.9203,0.7817,0.7453,1.4885,0.4775,3.9695,1.0014,0.3750,cohort_regression,9,2016,16,1,G_LEAGUE,MNE,,4.91,4.91
nba_projections,Fred VanVleet,HOU,Guard,1627832,60.0,35.2167,12.8017,2.9730,2.7960,0.7106,5.0928,0.9069,1.6976,0.2863,0.2996,0.1571,1.3980,0.4669,4.3103,1.1036,10.9683,2.0793,0.3930,1.8546,0.9079,2.2548,1.0180,0.8225,2.3264,0.4655,6.5586,1.2702,0.3547,cohort_regression,9,,,,G_LEAGUE,RAP,,3.97,3.97
