nba_api_id,career_ft_pct
2544,0.729022324865281
2546,0.8544303797468354
2594,0.8536585365853658
2730,0.5736842105263158
2738,0.631578947368421
2772,0.7794117647058824
101107,0.8596491228070176
101108,0.8807785888077859
101133,0.6194690265486725
101141,0.8369565217391305
101150,0.8627118644067797
200746,0.8470588235294118
200752,0.8360655737704918
200755,0.9029535864978903
200765,0.7380952380952381
200768,0.8596059113300493
200782,0.775
200794,0.7718631178707225
201142,0.9062181447502549
201143,0.7981651376146789
201144,0.826797385620915
201145,0.7936507936507936
201152,0.5923076923076923
201158,0.8275862068965517
201188,0.7272727272727273
201229,0.7428571428571429
201565,0.8802588996763754
201566,0.6859229747675962
201567,0.8497316636851521
201568,0.9044585987261147
201569,0.7996219281663516
201571,0.8930817610062893
201572,0.8205128205128205
201577,0.6603053435114504
201580,0.6636904761904762
201586,0.7350427350427351
201587,0.7532467532467533
201588,0.835820895522388
201599,0.5728476821192053
201609,0.7847533632286996
201933,0.739938080495356
201935,0.8678217821782178
201937,0.857976653696498
201939,0.92
201942,0.8689586447433981
201949,0.5828877005347594
201950,0.7777777777777778
201952,0.8642384105960265
201959,0.7463414634146341
201960,0.6904761904761905
201961,0.8135593220338984
201976,0.7241379310344828
201980,0.7378640776699029
201988,0.8637992831541219
202066,0.7747252747252747
202083,0.806060606060606
202322,0.7253086419753086
202324,0.6534090909090909
202326,0.7475728155339806
202329,0.7254901960784313
202330,0.8385579937304075
202331,0.8692220969560316
202334,0.575
202335,0.8
202339,0.7452471482889734
202340,0.8421052631578947
202355,0.6371134020618556
202357,0.7638888888888888
202362,0.7875
202397,0.6666666666666666
202681,0.9141274238227147
202683,0.7594501718213058
202684,0.5818639798488665
202685,0.7936681222707423
202687,0.5062972292191436
202688,0.6666666666666666
202689,0.8695652173913043
202691,0.8852459016393442
202692,0.8455089820359282
202693,0.7792207792207793
202694,0.8290441176470589
202695,0.8811475409836066
202696,0.8073089700996677
202699,0.8508655126498003
202704,0.8514588859416445
202709,0.8425655976676385
202710,0.8534085084572014
202711,0.881447963800905
202722,0.8664383561643836
202734,0.7288135593220338
202738,0.8269230769230769
202954,0.9122137404580153
203076,0.7876664330763841
203078,0.8567186340014847
203081,0.9063756461803562
203082,0.8559670781893004
203083,0.5647208121827412
203084,0.8283132530120482
203085,0.72
203086,0.6923076923076923
203087,0.865979381443299
203089,0.5
203090,0.6715328467153284
203095,0.7861507128309573
203107,0.8503937007874016
203109,0.7781456953642384
203110,0.7297297297297297
203114,0.9007009345794392
203115,0.7850467289719626
203118,0.7755102040816326
203145,0.743801652892562
203200,0.7882882882882883
203210,0.8113207547169812
203382,0.7327586206896551
203457,0.7293577981651376
203458,0.6433333333333333
203463,0.7740384615384616
203468,0.7534435261707989
203469,0.7041884816753927
203471,0.8491803278688524
203473,0.7452830188679245
203476,0.7971014492753623
203482,0.8355704697986577
203484,0.8438133874239351
203486,0.5717821782178217
203487,0.7252747252747253
203488,0.8323353293413174
203490,0.8115942028985508
203493,0.8260869565217391
203496,0.8033898305084746
203497,0.6484575835475579
203500,0.5
203501,0.7948717948717948
203503,1.0
203504,0.8623853211009175
203506,0.7627118644067796
203507,0.6721251819505094
203516,0.8052631578947368
203521,0.8333333333333334
203524,0.75
203526,0.8321167883211679
203552,0.8730650154798761
203585,0.6888888888888889
203648,0.5373134328358209
203894,0.8235294117647058
203895,0.7614678899082569
203897,0.8390243902439024
203901,0.5955555555555555
203903,0.8392857142857143
203914,0.8440677966101695
203915,0.7891682785299806
203918,0.8378378378378378
203920,0.6993464052287581
203922,0.8715596330275229
203924,0.8175438596491228
203925,0.7311827956989247
203926,0.7978339350180506
203932,0.6652126499454744
203933,0.8152610441767069
203935,0.7937806873977087
203937,0.7216699801192843
203939,0.7300813008130081
203943,0.7941176470588235
203944,0.7653239929947461
203952,0.6801968019680197
203953,0.7766990291262136
203954,0.8357450136879155
203957,0.7333333333333333
203960,0.6607142857142857
203967,0.8415841584158416
203991,0.5451664025356577
203992,0.8153409090909091
203994,0.6792763157894737
203999,0.8288973384030418
204001,0.8423864648263579
204020,0.8450704225352113
204025,0.6666666666666666
204038,0.8796296296296297
204060,0.8149779735682819
204456,0.8011049723756906
1626143,0.6627906976744186
1626144,0.7586206896551724
1626145,0.8104089219330854
1626149,0.6912350597609562
1626153,0.8137535816618912
1626156,0.8109452736318408
1626157,0.8331870061457419
1626158,0.7884130982367759
1626159,0.6217948717948718
1626161,0.6164383561643836
1626162,0.7304878048780488
1626163,0.6989247311827957
1626164,0.8810110974106042
1626166,0.8333333333333334
1626167,0.7702312138728323
1626168,0.7908045977011494
1626169,0.717391304347826
1626171,0.7574257425742574
1626172,0.6147058823529412
1626174,0.6923076923076923
1626178,0.7169811320754716
1626179,0.8362944162436549
1626181,0.8340471092077087
1626184,0.7962962962962963
1626192,0.7657142857142857
1626195,0.7279596977329975
1626196,0.863013698630137
1626203,0.6428571428571429
1626204,0.6756756756756757
