nba_api_id,real_id,name,cohort,pos_class,ypb,gp_train,gp_eval,K_prior,v6_3_A_qualifies,PTS_v6_1_proj,PTS_v6_3_A_proj,PTS_pg_train,PTS_pg_eval,REB_v6_1_proj,REB_v6_3_A_proj,REB_pg_train,REB_pg_eval,AST_v6_1_proj,AST_v6_3_A_proj,AST_pg_train,AST_pg_eval
2544,2544,LeBron James,vet,Forward,13+,14,46,50.0,True,20.06227709710892,20.158028982116345,20.5,21.065217391304348,7.510243843870957,6.945503003024185,4.928571428571429,6.413043478260869,6.3953412755791375,6.465110371546201,6.714285714285714,7.3478260869565215
101108,101108,Chris Paul,vet,Guard,13+,16,0,50.0,True,8.756172429149888,7.3455851735984,2.9375,,3.572208029327776,3.1304606282786183,1.75,,6.715788393016873,5.890748782588541,3.3125,
200768,200768,Kyle Lowry,vet,Guard,13+,5,9,50.0,True,4.341821991738296,4.056201810671179,1.2,1.2222222222222223,2.111121441830024,1.9737467653000216,0.6,0.6666666666666666,2.5888238775187027,2.480748979562457,1.4,0.4444444444444444
201142,201142,Kevin Durant,vet,Forward,13+,28,50,50.0,True,24.92964665973366,25.147209397265165,25.535714285714285,26.22,6.031198901540793,5.648204424064611,4.964285714285714,5.74,4.20950198635128,4.236860247661077,4.285714285714286,5.04
201143,201143,Al Horford,vet,Center,13+,13,32,50.0,True,7.108378626922686,6.8003004975576875,5.615384615384615,9.34375,5.845936812690653,5.5443942957862316,4.384615384615385,5.0625,2.1136002863706325,2.09015895743701,2.0,2.8125
201144,201144,Mike Conley,vet,Guard,13+,26,28,50.0,True,7.637000782354809,6.879605777865005,5.423076923076923,3.7142857142857144,2.391558067109759,2.231288202045894,1.9230769230769231,1.5357142857142858,4.195326017316574,3.8785039587609034,3.269230769230769,2.5714285714285716
201566,201566,Russell Westbrook,vet,Guard,13+,30,34,50.0,True,12.435439394392183,13.184649621495115,14.433333333333334,15.823529411764707,5.3009728848181705,5.900608053011356,6.9,4.147058823529412,5.413568780069013,6.0709804875431335,7.166666666666667,6.205882352941177
201569,201569,Eric Gordon,vet,Guard,13+,6,0,50.0,True,6.266370728395253,6.184259578924333,5.5,,1.207492269729694,1.1138323836872268,0.3333333333333333,,1.376676518339849,1.2827468913748652,0.5,
201572,201572,Brook Lopez,vet,Center,13+,23,52,50.0,True,11.967773165933009,10.42998162050206,7.086956521739131,9.057692307692308,5.105711161272852,4.236788466625241,2.347826086956522,4.211538461538462,1.5390081415757146,1.273293247654599,0.6956521739130435,1.5576923076923077
201587,201587,Nicolas Batum,vet,Guard,13+,29,45,50.0,True,3.1370171179353736,3.6310234923641604,4.482758620689655,3.6222222222222222,2.707343482601432,2.688192077595843,2.6551724137931036,2.3777777777777778,0.967733075737628,0.8783120732516633,0.7241379310344828,0.9555555555555556
201599,201599,DeAndre Jordan,vet,Center,13+,2,10,50.0,True,2.953510138956558,3.0129905182274594,4.5,4.4,4.601401218100524,4.616731940481274,5.0,6.6,0.7764030193565934,0.7465413647659551,0.0,1.1
201935,201935,James Harden,vet,Guard,13+,28,42,50.0,True,18.8643595564616,21.515615100295896,26.25,21.833333333333332,5.416601749055099,5.2798729160609605,5.035714285714286,4.642857142857143,7.849653523131359,7.916444566109846,8.035714285714286,7.904761904761905
201939,201939,Stephen Curry,vet,Guard,13+,21,22,50.0,True,22.81407005116694,24.545119754342917,28.666666666666668,24.545454545454547,4.408439483871294,4.3580559745572485,4.238095238095238,2.9545454545454546,5.065929306905355,4.835161483736165,4.285714285714286,5.136363636363637
201942,201942,DeMar DeRozan,vet,Guard,13+,30,47,50.0,True,21.005073253116983,20.265670783198114,19.033333333333335,18.04255319148936,3.937614750619443,3.6860092191371523,3.2666666666666666,2.723404255319149,4.404333662184577,4.11520853886536,3.6333333333333333,4.404255319148936
201950,201950,Jrue Holiday,vet,Guard,13+,12,41,50.0,True,9.910192586420555,11.217897247113351,16.666666666666668,16.21951219512195,4.303847037605459,4.4869734174237585,5.25,4.439024390243903,3.7011614308260343,4.581581799053254,8.25,5.439024390243903
201959,201959,Taj Gibson,vet,Forward,13+,0,10,50.0,False,2.0988724594004182,2.0988724594004182,,3.4,2.5562260391285347,2.5562260391285347,,2.7,0.4422968617869001,0.4422968617869001,,0.6
202331,202331,Paul George,vet,Forward,13+,14,23,50.0,True,17.86610745338023,17.457896447953303,16.0,18.130434782608695,5.094198640345951,5.151717687770274,5.357142857142857,5.260869565217392,3.7481812651952655,3.6626416134338013,3.357142857142857,3.739130434782609
202681,202681,Kyrie Irving,vet,Guard,13+,0,0,50.0,False,23.943376361614327,23.943376361614327,,,4.716766965695701,4.716766965695701,,,4.439907450713198,4.439907450713198,,
202685,202685,Jonas Valančiūnas,vet,Center,13+,30,35,50.0,True,9.216641109492778,8.922900693432988,8.433333333333334,8.971428571428572,7.311878338555205,6.2824239615970034,4.566666666666666,5.485714285714286,1.7333295243926732,1.520830952745421,1.1666666666666667,1.2285714285714286
202687,202687,Bismack Biyombo,vet,Center,13+,10,15,50.0,True,4.529537265051292,3.9246143875427437,0.9,0.9333333333333333,5.490250154382768,4.691875128652307,0.7,1.2666666666666666,1.1556058553458357,1.013004879454863,0.3,0.13333333333333333
202691,202691,Klay Thompson,vet,Guard,13+,28,41,50.0,True,14.636678078516184,13.382485947766785,11.142857142857142,12.146341463414634,3.212084560680964,2.9692849747954897,2.5357142857142856,1.7560975609756098,1.885835381121072,1.6832278084109435,1.3214285714285714,1.4390243902439024
202692,202692,Alec Burks,vet,Guard,13+,0,0,50.0,False,7.325941441372013,7.325941441372013,,,2.383051859112054,2.383051859112054,,,1.1634385754148548,1.1634385754148548,,
202695,202695,Kawhi Leonard,vet,Forward,13+,20,45,50.0,True,19.44341332828036,21.359580948771683,26.15,28.666666666666668,5.687621393968289,5.86258670997735,6.3,6.377777777777778,2.87894665802371,3.0421047557312217,3.45,3.6666666666666665
202696,202696,Nikola Vučević,vet,Center,13+,29,35,50.0,True,15.993784033514338,15.93277470475591,15.827586206896552,14.457142857142857,9.69710185169896,9.491836614999341,9.137931034482758,7.771428571428571,3.0279662540453423,3.1695988949654064,3.413793103448276,3.257142857142857
202699,202699,Tobias Harris,vet,Forward,13+,20,43,50.0,True,13.669262596242474,13.763758997316053,14.0,12.930232558139535,5.654847480206512,5.43917677157608,4.9,5.232558139534884,2.172131607983407,2.294379719988148,2.6,2.441860465116279
202709,202709,Cory Joseph,vet,Guard,13+,0,0,50.0,False,3.137588836712511,3.137588836712511,,,1.245214860715941,1.245214860715941,,,1.415825850563236,1.415825850563236,,
202710,202710,Jimmy Butler III,vet,Forward,13+,26,12,50.0,True,16.374658687658627,17.575433347143836,19.884615384615383,20.25,5.115169722736549,5.233664291274045,5.461538461538462,5.75,4.613690300195591,4.653743618549731,4.730769230769231,5.166666666666667
203076,203076,Anthony Davis,vet,Forward,13+,14,6,50.0,True,20.72056917779644,20.781694670153467,21.0,18.833333333333332,11.347982606167545,11.396861411068395,11.571428571428571,9.833333333333334,3.0354080209772314,3.012037516388462,2.9285714285714284,2.5
203078,203078,Bradley Beal,vet,Guard,13+,6,0,50.0,True,15.55899460263798,14.766959466641055,8.166666666666666,,3.5648017247085497,3.272144397061205,0.8333333333333334,,3.874865198029894,3.6382724982409766,1.6666666666666667,
203081,203081,Damian Lillard,vet,Guard,13+,0,0,50.0,False,23.93627019877937,23.93627019877937,,,4.444960077389178,4.444960077389178,,,6.418730814396383,6.418730814396383,,
203083,203083,Andre Drummond,vet,Center,13+,29,34,50.0,True,7.42059365564271,7.380122566862475,7.310344827586207,5.617647058823529,8.818168553309967,9.011499084373396,9.344827586206897,7.676470588235294,0.8221845660750154,0.8368256747310224,0.8620689655172413,1.6176470588235294
203084,203084,Harrison Barnes,vet,Forward,13+,30,47,50.0,True,11.678760902420867,12.149225564013042,12.933333333333334,8.02127659574468,3.5228374537395366,3.4267734085872106,3.2666666666666666,2.4468085106382977,1.421126191465871,1.6632038696661695,2.066666666666667,1.8297872340425532
