,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"z_player_zone_eff[8,1]",0.244898,0.0187838,0.99755,0.978881,-1.40866,0.264464,1.9475,2873.7,965.53,1.00487
"z_player_zone_eff[8,2]",0.012669,0.0202864,0.949595,0.959525,-1.57331,0.0111719,1.53176,2269.9,1099.9,1.01133
"z_player_zone_eff[8,3]",-0.0535814,0.0201317,0.969213,0.943293,-1.66164,-0.0511769,1.51025,2396.11,1074.69,1.00844
"z_player_zone_eff[8,4]",0.0344566,0.0233059,1.0352,1.05182,-1.66599,0.0279831,1.70463,2056.64,999.678,1.00184
"z_player_zone_eff[8,5]",-0.00540248,0.0253995,0.988787,1.00192,-1.63802,-0.00930219,1.6154,1572.62,1036.45,1.00896
"z_player_zone_eff[8,6]",-0.0864536,0.0200474,0.96101,1.02607,-1.62201,-0.1262,1.48146,2331.59,1146.89,1.0031
"z_player_zone_eff[9,1]",-0.166283,0.0173173,0.736674,0.761566,-1.36544,-0.167983,1.06562,1869.91,1178.85,1.001
"z_player_zone_eff[9,2]",1.66488,0.0141808,0.504616,0.520563,0.846977,1.66602,2.49287,1290.17,1210.23,1.00076
"z_player_zone_eff[9,3]",1.60912,0.0147074,0.548567,0.552661,0.698564,1.61742,2.49608,1437.29,1052.02,1.00415
"z_player_zone_eff[9,4]",-0.152662,0.0214557,1.00036,0.992176,-1.76368,-0.131312,1.49944,2233.33,1289.03,1.00019
"z_player_zone_eff[9,5]",-0.0217504,0.0265451,0.951306,0.919246,-1.6426,-0.0281004,1.55378,1330.42,807.677,1.00249
"z_player_zone_eff[9,6]",-0.0438807,0.0178315,0.795414,0.763549,-1.37344,-0.0555358,1.30859,2065.89,1070.05,1.0033
"z_player_zone_eff[10,1]",-0.378647,0.0194487,0.859134,0.907788,-1.75962,-0.377402,1.06399,2003.13,837.818,0.99974
"z_player_zone_eff[10,2]",-0.198255,0.0221053,0.965159,0.968435,-1.75355,-0.218719,1.46632,2071.65,1204.29,1.00154
"z_player_zone_eff[10,3]",-0.0312267,0.0214109,0.986713,0.993922,-1.59175,-0.0270427,1.59768,2188.5,1063.03,1.00096
"z_player_zone_eff[10,4]",-0.00282077,0.0241887,1.01229,1.052,-1.6459,-0.00966929,1.63113,1798.87,984.338,1.00733
"z_player_zone_eff[10,5]",-0.0074619,0.0238001,0.980485,0.995082,-1.58673,0.00206263,1.62786,1748.55,1037.12,1.00114
"z_player_zone_eff[10,6]",-0.0895178,0.0243098,1.03447,1.00051,-1.80701,-0.121333,1.70231,1853.89,967.842,1.00051
"z_player_zone_eff[11,1]",-0.478347,0.0206511,0.851365,0.881649,-1.86508,-0.481552,0.938372,1756.88,1135.67,1.00303
"z_player_zone_eff[11,2]",0.00876046,0.0211612,0.992701,0.985199,-1.60241,-0.000483057,1.63513,2236.8,831.853,1.00065
"z_player_zone_eff[11,3]",0.0863877,0.0221606,0.984697,1.01572,-1.51181,0.0410193,1.68631,2025.83,1028.21,1.00071
"z_player_zone_eff[11,4]",0.0060164,0.0225376,0.988462,1.03696,-1.58531,0.0252764,1.59677,1962.36,1210.55,1.0037
"z_player_zone_eff[11,5]",-0.0587641,0.02625,1.04458,1.02541,-1.77543,-0.05978,1.64465,1616.12,871.876,1.00695
"z_player_zone_eff[11,6]",0.0750747,0.0205727,0.958883,0.926652,-1.51698,0.0627614,1.59594,2191.02,1227.1,1.00373
"z_player_zone_eff[12,1]",-0.990854,0.015173,0.699585,0.701574,-2.13428,-0.962416,0.157532,2171.89,949.2,0.999876
"z_player_zone_eff[12,2]",-0.589111,0.0163973,0.644486,0.615795,-1.70811,-0.570644,0.435392,1592.91,1000.19,1.00094
"z_player_zone_eff[12,3]",-0.688027,0.0141638,0.725709,0.715473,-1.9055,-0.686125,0.501662,2586.51,1030.0,1.00369
"z_player_zone_eff[12,4]",0.00689243,0.021036,0.980361,0.994256,-1.54783,0.00847232,1.57615,2125.78,1046.28,1.00558
"z_player_zone_eff[12,5]",0.0145547,0.0217111,0.977239,1.00022,-1.62696,0.0136701,1.64945,2100.55,1185.9,1.00381
"z_player_zone_eff[12,6]",-0.0771248,0.0212647,0.91524,0.900557,-1.5745,-0.0858636,1.44151,1921.72,925.806,1.0014
"z_player_zone_eff[13,1]",-0.169607,0.0151163,0.683135,0.676262,-1.26808,-0.183393,0.914408,2092.18,1118.42,1.00168
"z_player_zone_eff[13,2]",-0.353923,0.018035,0.769328,0.787877,-1.56352,-0.348239,0.909767,1872.84,1046.34,1.0035
"z_player_zone_eff[13,3]",1.36718,0.0180408,0.736134,0.708709,0.178763,1.3764,2.59004,1696.06,1217.29,0.999167
"z_player_zone_eff[13,4]",-0.0160155,0.0214573,1.02887,1.0367,-1.69202,-0.0124739,1.63059,2327.32,1161.78,1.00035
"z_player_zone_eff[13,5]",-0.00371105,0.0193511,0.995961,0.976972,-1.66852,0.0145942,1.5684,2753.99,1025.57,1.00096
"z_player_zone_eff[13,6]",0.0293496,0.0217409,0.930791,0.910523,-1.50527,0.0329084,1.5441,1909.34,1164.23,0.999152
"z_player_zone_eff[14,1]",-0.403804,0.0140932,0.664785,0.653092,-1.52522,-0.393819,0.681801,2275.43,1081.96,1.00234
"z_player_zone_eff[14,2]",-0.629684,0.0158011,0.643973,0.641695,-1.7093,-0.608348,0.409788,1678.29,1037.93,1.00157
"z_player_zone_eff[14,3]",-0.195193,0.0176283,0.737888,0.731456,-1.44313,-0.184331,0.974369,1790.52,866.792,1.00052
"z_player_zone_eff[14,4]",-0.162104,0.0220523,0.978031,1.01293,-1.83646,-0.158535,1.41766,1987.02,1186.93,1.00497
"z_player_zone_eff[14,5]",-0.226506,0.0261471,1.02475,0.983906,-1.9026,-0.23024,1.47205,1602.72,942.261,1.00388
"z_player_zone_eff[14,6]",-0.574451,0.0181465,0.839152,0.829657,-1.99066,-0.562006,0.837198,2183.09,887.655,1.00425
"z_player_zone_eff[15,1]",-0.0365204,0.0195874,0.913442,0.898746,-1.54864,-0.0197355,1.49181,2236.08,1001.81,1.0012
"z_player_zone_eff[15,2]",-0.299118,0.0242329,0.982076,0.99671,-1.95003,-0.293146,1.33694,1668.85,1058.43,1.00096
"z_player_zone_eff[15,3]",0.0717914,0.0191403,0.882615,0.80946,-1.37103,0.0943833,1.47536,2145.08,1043.89,1.00269
"z_player_zone_eff[15,4]",-0.077045,0.0216498,0.984661,0.964932,-1.62826,-0.0679022,1.57738,2121.28,1097.61,0.999678
"z_player_zone_eff[15,5]",0.094443,0.0201397,1.03802,1.02703,-1.61018,0.0853773,1.80596,2722.94,1194.37,1.00416
"z_player_zone_eff[15,6]",0.345622,0.0241696,0.920437,0.940756,-1.19662,0.341608,1.82069,1486.81,975.824,1.00336
"z_player_zone_eff[16,1]",-0.701354,0.0169946,0.722302,0.69583,-1.88098,-0.726417,0.514619,1851.12,1005.92,1.00531
"z_player_zone_eff[16,2]",-1.11247,0.0208654,0.856884,0.873577,-2.50066,-1.10196,0.312286,1731.63,1317.22,1.00229
"z_player_zone_eff[16,3]",-0.183623,0.0224252,0.956308,0.94022,-1.76625,-0.19256,1.42159,1848.4,1261.51,1.00248
"z_player_zone_eff[16,4]",-0.117402,0.0204142,1.01495,1.00285,-1.75986,-0.135431,1.54657,2521.51,908.987,1.0038
"z_player_zone_eff[16,5]",-0.0108394,0.0221318,0.997507,0.963653,-1.72318,0.0106575,1.63073,2117.08,1185.06,1.00341
"z_player_zone_eff[16,6]",-0.0260603,0.0224195,0.925152,0.923578,-1.48699,-0.0220967,1.53791,1788.25,1074.37,1.0012
"z_player_zone_eff[17,1]",-0.175071,0.0123845,0.58537,0.562123,-1.12016,-0.17587,0.812804,2305.63,1224.34,1.00289
"z_player_zone_eff[17,2]",0.0884247,0.0162864,0.739872,0.728248,-1.13054,0.0991516,1.3297,2077.55,946.192,1.00396
"z_player_zone_eff[17,3]",-0.235106,0.0169076,0.7711,0.793432,-1.45511,-0.259742,1.04793,1963.76,712.773,1.00291
"z_player_zone_eff[17,4]",0.0397558,0.0254762,0.990481,0.958629,-1.57318,0.057553,1.66981,1557.21,1082.93,1.00212
"z_player_zone_eff[17,5]",0.0858448,0.0228515,0.957696,0.910868,-1.51047,0.092294,1.67803,1752.53,955.807,1.00622
"z_player_zone_eff[17,6]",-0.402695,0.0156755,0.719468,0.744806,-1.5939,-0.416903,0.75398,2105.87,1239.84,1.00101
"z_player_zone_eff[18,1]",-1.8132,0.0158457,0.638642,0.638875,-2.87081,-1.84267,-0.745183,1667.17,1207.26,1.00437
"z_player_zone_eff[18,2]",0.294721,0.0169517,0.72856,0.727333,-0.882588,0.294363,1.50544,1874.96,966.249,1.00297
"z_player_zone_eff[18,3]",0.00998346,0.0206491,0.952354,0.926699,-1.53355,-0.00606309,1.63656,2125.78,927.219,1.00219
"z_player_zone_eff[18,4]",-0.166448,0.0214126,0.903663,0.882446,-1.6025,-0.153818,1.29138,1795.95,938.191,1.00148
"z_player_zone_eff[18,5]",0.0636452,0.0229723,0.965601,0.989957,-1.52658,0.0803024,1.65562,1845.19,908.412,0.999461
"z_player_zone_eff[18,6]",-0.163695,0.0231879,0.976392,0.980569,-1.79833,-0.131229,1.36927,1813.01,1206.43,1.00289
"z_player_zone_eff[19,1]",-0.309515,0.0196571,0.74283,0.749118,-1.54754,-0.28824,0.908234,1489.44,1258.97,1.00125
"z_player_zone_eff[19,2]",-0.311823,0.0182073,0.805872,0.81785,-1.57292,-0.326512,1.0346,1992.13,1004.72,1.00008
"z_player_zone_eff[19,3]",-0.246808,0.0194044,0.896461,0.907868,-1.66617,-0.263826,1.22711,2210.07,1251.39,1.00336
"z_player_zone_eff[19,4]",0.0430813,0.0238378,0.993157,1.0308,-1.56771,0.0675164,1.66764,1757.93,1048.42,1.00031
"z_player_zone_eff[19,5]",0.0406727,0.0230725,0.967043,0.97532,-1.54106,0.0244191,1.69997,1834.16,1217.46,0.999994
"z_player_zone_eff[19,6]",-0.0741985,0.025369,0.953196,0.974634,-1.64376,-0.086928,1.49954,1457.92,995.836,1.00263
"z_player_zone_eff[20,1]",1.32548,0.0159132,0.625733,0.629999,0.287849,1.32882,2.35925,1640.88,973.218,1.00249
"z_player_zone_eff[20,2]",1.87898,0.0138814,0.514095,0.520252,1.04246,1.86977,2.72034,1413.13,968.786,0.998984
"z_player_zone_eff[20,3]",2.90954,0.0176882,0.581271,0.561587,1.98481,2.91084,3.88112,1131.94,1105.3,1.00208
"z_player_zone_eff[20,4]",0.177245,0.0258885,1.00185,0.992939,-1.51248,0.166903,1.84126,1560.3,1030.46,1.00527
"z_player_zone_eff[20,5]",0.157711,0.0203343,0.959305,0.950788,-1.49153,0.160305,1.74641,2282.46,1265.64,0.999521
"z_player_zone_eff[20,6]",0.695181,0.0169713,0.757225,0.743579,-0.559859,0.712047,1.93186,2098.73,1179.88,1.01035
"z_player_zone_eff[21,1]",-0.278613,0.0131589,0.600357,0.594466,-1.27888,-0.263599,0.725856,2120.51,1089.64,1.00022
"z_player_zone_eff[21,2]",0.105838,0.0199539,0.675837,0.676897,-1.0011,0.0960456,1.21292,1199.69,957.294,1.00248
"z_player_zone_eff[21,3]",-0.581443,0.0200027,0.818184,0.838215,-1.87181,-0.584437,0.72706,1675.26,1055.56,1.00175
"z_player_zone_eff[21,4]",0.0912031,0.0202066,0.950943,0.941116,-1.42141,0.0993808,1.66645,2343.43,995.47,0.999794
"z_player_zone_eff[21,5]",0.31608,0.021695,0.997159,0.991206,-1.37574,0.298662,1.96521,2178.55,1056.28,1.00393
"z_player_zone_eff[21,6]",0.224208,0.0211177,0.795894,0.790055,-1.06773,0.206771,1.54012,1479.85,950.334,0.998973
"z_player_zone_eff[22,1]",-0.948674,0.0129887,0.58777,0.612356,-1.90314,-0.943903,-0.0185643,2095.37,1192.47,1.0035
"z_player_zone_eff[22,2]",0.141007,0.0130036,0.520625,0.539181,-0.709888,0.152595,0.979997,1606.08,1064.77,1.00314
"z_player_zone_eff[22,3]",-0.060258,0.0195095,0.831053,0.823849,-1.41627,-0.0729204,1.29342,1881.54,873.909,1.00164
"z_player_zone_eff[22,4]",0.342835,0.0262973,1.00497,1.01021,-1.31151,0.351387,2.00582,1507.02,804.818,1.00867
"z_player_zone_eff[22,5]",0.0998549,0.024622,0.931276,0.903462,-1.49555,0.11167,1.54946,1478.52,1089.4,1.00521
"z_player_zone_eff[22,6]",0.384409,0.0184003,0.728832,0.693656,-0.798516,0.383719,1.59374,1622.08,835.409,1.00053
"z_player_zone_eff[23,1]",0.493764,0.0125531,0.497043,0.520447,-0.303433,0.474417,1.29792,1592.81,1008.71,1.00532
"z_player_zone_eff[23,2]",-0.170282,0.0174923,0.686957,0.662581,-1.30194,-0.168754,0.970738,1549.62,1171.76,1.00385
"z_player_zone_eff[23,3]",-0.641537,0.0207696,0.836355,0.833914,-2.05132,-0.640886,0.731368,1668.09,936.755,1.00458
"z_player_zone_eff[23,4]",-0.018751,0.0229975,0.957688,0.945478,-1.54581,-0.016449,1.53879,1753.29,985.332,1.00051
"z_player_zone_eff[23,5]",-0.0781035,0.0228799,0.964203,0.962558,-1.66996,-0.0703081,1.51469,1836.28,1287.5,1.00598
"z_player_zone_eff[23,6]",-0.615911,0.0236087,0.911325,0.901527,-2.10176,-0.606313,0.876449,1519.7,869.454,1.00624
"z_player_zone_eff[24,1]",-0.480436,0.0129125,0.506528,0.508184,-1.26173,-0.497854,0.329202,1566.45,1302.34,1.00007
"z_player_zone_eff[24,2]",0.485887,0.0152283,0.572637,0.555213,-0.476936,0.498738,1.42334,1454.34,1218.31,1.00319
"z_player_zone_eff[24,3]",-0.244666,0.0202774,0.901181,0.8894,-1.76186,-0.231444,1.27371,2025.64,1233.73,1.00815
"z_player_zone_eff[24,4]",-0.164021,0.0257379,0.980723,1.00033,-1.75133,-0.1705,1.47172,1487.56,1161.76,1.00132
"z_player_zone_eff[24,5]",-0.0656311,0.0238846,0.997832,1.04094,-1.7029,-0.0594408,1.51888,1755.26,860.942,1.00316
"z_player_zone_eff[24,6]",-0.4102,0.0185677,0.934802,0.912419,-1.943,-0.413096,1.13849,2584.51,1165.13,1.002
"z_player_zone_eff[25,1]",-0.0309328,0.0207394,0.953569,0.984476,-1.59631,0.000110803,1.49901,2160.13,1204.65,1.00632
"z_player_zone_eff[25,2]",-0.154036,0.0226668,0.976363,0.987422,-1.72202,-0.162682,1.39684,1940.63,1101.25,1.00638
"z_player_zone_eff[25,3]",-0.076007,0.0245119,0.954137,1.00567,-1.68297,-0.0952742,1.40987,1587.99,853.75,1.00536
"z_player_zone_eff[25,4]",-0.0736338,0.021994,1.0129,0.979256,-1.70358,-0.0907645,1.6215,2137.07,1170.29,1.00022
