nba_api_id,season,mins,games,mpg,mpg_over_48,position
1713,2019-20,876,60,14.6,0.30416666666666664,G
2199,2019-20,220,25,8.8,0.18333333333333335,C
2544,2019-20,2317,67,34.582089552238806,0.7204601990049752,F
2544,2020-21,1502,45,33.37777777777778,0.6953703703703704,F
2544,2021-22,2085,56,37.232142857142854,0.7756696428571428,F
2544,2022-23,1954,55,35.527272727272724,0.7401515151515151,F
2544,2023-24,2508,71,35.32394366197183,0.7359154929577465,F
2546,2019-20,1904,58,32.827586206896555,0.6839080459770116,F
2546,2020-21,1690,69,24.492753623188406,0.5102657004830918,F
2546,2021-22,1800,69,26.08695652173913,0.5434782608695652,F
2594,2019-20,960,58,16.551724137931036,0.3448275862068966,G
2730,2019-20,1302,69,18.869565217391305,0.39311594202898553,C
2730,2020-21,1190,69,17.246376811594203,0.35929951690821255,C
2730,2021-22,969,60,16.15,0.3364583333333333,C
2738,2019-20,418,21,19.904761904761905,0.4146825396825397,G
2738,2020-21,1337,63,21.22222222222222,0.4421296296296296,G
2738,2021-22,602,31,19.419354838709676,0.40456989247311825,G
2772,2019-20,1490,53,28.11320754716981,0.585691823899371,F
2772,2020-21,841,30,28.033333333333335,0.5840277777777778,F
2772,2021-22,461,24,19.208333333333332,0.4001736111111111,F
101107,2019-20,1130,58,19.482758620689655,0.40589080459770116,F
101108,2019-20,2207,70,31.52857142857143,0.6568452380952381,G
101108,2020-21,2200,70,31.428571428571427,0.6547619047619048,G
101108,2021-22,2140,65,32.92307692307692,0.6858974358974358,G
101108,2022-23,1890,59,32.03389830508475,0.6673728813559322,G
101108,2023-24,1533,58,26.43103448275862,0.5506465517241379,G
101133,2019-20,806,38,21.210526315789473,0.44188596491228066,C
101141,2019-20,985,63,15.634920634920634,0.3257275132275132,F
101150,2019-20,1866,65,28.70769230769231,0.5980769230769231,G
101150,2020-21,1419,66,21.5,0.4479166666666667,G
101150,2021-22,804,56,14.357142857142858,0.29910714285714285,G
200746,2019-20,1758,53,33.16981132075472,0.6910377358490566,C
200746,2020-21,673,26,25.884615384615383,0.5392628205128205,C
200746,2021-22,1049,47,22.319148936170212,0.4649822695035461,C
