nba_api_id,mpg_prior,mpg_prior_adj,latest_age
2544,35.70855493712636,29.608554937126357,38.0
2546,25.48792270531401,19.38792270531401,38.0
2730,16.566666666666666,11.866666666666667,36.0
2738,20.052398020139957,13.95239802013996,38.0
2772,22.177777777777777,16.77777777777778,37.0
101108,32.18739323630365,26.08739323630365,38.0
101150,18.599025974025974,14.599025974025974,35.0
200746,24.127172472917152,19.427172472917153,36.0
200752,16.79810348381777,12.09810348381777,36.0
200755,17.522360703812318,12.12236070381232,37.0
200765,17.687260887260887,12.987260887260888,36.0
200768,32.49797531660886,27.09797531660886,37.0
200782,26.010943330925727,19.91094333092573,38.0
200794,13.207575757575757,7.8075757575757585,37.0
201142,35.21258764875786,31.912587648757857,34.0
201143,29.716109632258703,24.316109632258705,37.0
201144,30.114566247649122,26.114566247649122,35.0
201145,22.031504601840737,17.331504601840738,36.0
201152,16.425727866904335,12.425727866904335,35.0
201188,19.096153846153847,14.396153846153847,36.0
201565,19.34984217428662,16.049842174286624,34.0
201566,30.483377322829377,27.18337732282938,34.0
201567,20.648171243740087,17.34817124374009,34.0
201568,24.875816993464053,22.275816993464055,33.0
201569,28.12834163076142,24.82834163076142,34.0
201571,17.501132027447817,14.201132027447818,34.0
201572,27.80837257980115,23.80837257980115,35.0
201577,12.199249551362227,8.199249551362229,35.0
201580,11.933344270300793,7.933344270300794,35.0
201586,17.46260987350296,15.56260987350296,32.0
201587,23.52479824754047,20.22479824754047,34.0
201588,20.212723407832105,14.812723407832106,37.0
201599,14.557170899276162,11.257170899276163,34.0
201609,18.991850894203836,13.591850894203837,37.0
201933,18.70769891119838,15.407698911198382,34.0
201935,36.96485425862084,34.36485425862084,33.0
201937,21.674815380697737,19.77481538069774,32.0
201939,34.556476757369616,30.556476757369612,35.0
201942,35.83744307601081,33.237443076010805,33.0
201949,20.149929115138825,16.149929115138825,35.0
201950,32.64728416031224,30.04728416031224,33.0
201952,17.098378745437568,14.498378745437568,33.0
201959,13.766898407714734,7.6668984077147355,38.0
201961,19.891472868217054,16.591472868217053,34.0
201976,26.63547477482629,23.335474774826288,34.0
201980,23.891382265856322,19.891382265856322,35.0
201988,19.915048241518832,16.615048241518835,34.0
202066,21.502017756255043,16.802017756255044,36.0
202083,17.636805840183744,12.936805840183744,36.0
202322,24.204705882352943,22.304705882352945,32.0
202324,16.238436400201106,15.438436400201105,30.0
202326,15.779322377521687,14.579322377521688,31.0
202329,20.228900255754475,19.428900255754474,30.0
202330,31.999533527696794,29.399533527696796,33.0
202331,34.529441884280594,31.929441884280592,33.0
202334,8.655913978494624,6.055913978494624,33.0
202335,15.31578947368421,13.415789473684212,32.0
202339,26.717962093548948,24.81796209354895,32.0
202340,22.350227001194742,21.150227001194743,31.0
202355,16.973504273504272,14.373504273504272,33.0
202357,16.283677637550877,12.983677637550878,34.0
202362,18.14782608695652,16.94782608695652,31.0
202397,14.92905479184549,11.62905479184549,34.0
202681,37.33575138356748,36.135751383567474,31.0
202683,15.962830687830689,15.162830687830688,30.0
202684,16.900130761686825,15.700130761686825,31.0
202685,26.92750882481385,25.72750882481385,31.0
202687,15.123140065763016,14.323140065763015,30.0
202689,27.693484181856274,25.793484181856275,32.0
202691,31.821407004830917,29.22140700483092,33.0
202692,24.406687542741963,23.206687542741964,31.0
202693,12.50223686096396,9.90223686096396,33.0
202694,28.08349934665724,25.483499346657243,33.0
202695,33.70769230769231,31.80769230769231,32.0
202696,33.38299396709019,31.482993967090184,32.0
202699,33.40439707430428,32.60439707430428,30.0
202704,24.367229418518267,21.76722941851827,33.0
202709,22.13555984353947,20.93555984353947,31.0
202710,33.56243975322923,30.962439753229226,33.0
202711,31.554982395807745,28.254982395807744,34.0
202722,14.135638927167212,13.335638927167212,30.0
202734,14.407407407407407,12.507407407407408,32.0
202738,14.009358288770054,11.409358288770054,33.0
202954,15.314990307862725,13.414990307862727,32.0
203076,34.07845804988662,33.27845804988662,30.0
203078,34.51047619047619,33.71047619047619,30.0
203081,36.27556797294317,34.375567972943166,32.0
203082,21.54582470669427,19.64582470669427,32.0
203083,19.39215344644062,18.99215344644062,29.0
203084,33.327120434533626,32.12712043453362,31.0
203085,21.52438428532956,20.72438428532956,30.0
203087,17.713831686520763,16.913831686520762,30.0
203090,20.638474808687576,20.238474808687577,29.0
203095,24.077269027269026,23.277269027269025,30.0
203107,17.622945588893863,16.822945588893862,30.0
203109,22.760104240701256,20.860104240701258,32.0
203110,30.737247767878245,28.137247767878247,33.0
203114,27.905334861217217,26.705334861217217,31.0
203115,19.799416498993967,17.89941649899397,32.0
203118,16.705882352941178,14.805882352941179,32.0
203145,15.953055236637326,14.053055236637327,32.0
203200,20.034268580213332,16.73426858021333,34.0
203210,15.375461298640321,12.775461298640321,33.0
203382,18.49056603773585,15.19056603773585,34.0
203457,23.043958333333336,23.043958333333336,28.0
203458,15.733463014507423,15.333463014507423,29.0
203463,18.307356244384547,17.907356244384548,29.0
203468,34.76758654599423,33.567586545994224,31.0
203469,15.014351851851853,14.214351851851852,30.0
203471,29.129700048602754,28.729700048602755,29.0
203473,12.402256064176724,9.802256064176724,33.0
203476,11.809181586664609,9.20918158666461,33.0
203482,26.553550377946184,24.653550377946186,32.0
203484,30.59962223838332,29.799622238383318,30.0
203486,24.887918184817522,22.287918184817524,33.0
203487,25.806451612903224,25.406451612903226,29.0
203488,15.231362126245847,14.031362126245845,31.0
203490,21.899007936507935,21.499007936507937,29.0
203493,29.60112044817927,27.70112044817927,32.0
203496,23.226661881698625,21.326661881698627,32.0
203497,31.11258546952712,29.91258546952712,31.0
203500,26.883205550822872,26.483205550822873,29.0
203501,29.84032768036792,28.64032768036792,31.0
