nba_api_id,name,age_2025,metadata_bucket,adjudicated_bucket,is_adjudicated,is_flip,is_non_flip_adj,stat,stan_factor,mu_metadata,mu_adjudicated,delta_mu,actual,ae_metadata,ae_adjudicated,delta_ae
201567,Kevin Love,37.0,Forward,Center,True,True,False,PTS,1.196192578835638,5.00172144243404,5.396022070842682,0.3943006284086419,14.636065573770493,9.634344131336452,9.240043502927811,0.3943006284086401
201567,Kevin Love,37.0,Forward,Center,True,True,False,REB,0.9987978536294222,3.5864006226644976,3.5820892441725234,-0.0043113784919741605,12.688524590163937,9.10212396749944,9.106435345991413,-0.004311378491973272
201567,Kevin Love,37.0,Forward,Center,True,True,False,AST,1.0,1.1154489110990258,1.1154489110990258,0.0,3.9540983606557374,2.8386494495567116,2.8386494495567116,0.0
201567,Kevin Love,37.0,Forward,Center,True,True,False,BLK,1.023206473242957,0.1276827937906681,0.13064586112835724,0.0029630673376891403,0.5311475409836066,0.4034647471929385,0.40050167985524937,0.0029630673376891403
203076,Anthony Davis,32.0,Forward,Center,True,True,False,PTS,1.0383647301923533,23.266310841785565,23.571916579802092,0.3056057380165278,23.4432,0.1768891582144363,0.1287165798020915,0.04817257841234479
203076,Anthony Davis,32.0,Forward,Center,True,True,False,REB,0.9995881942071464,11.46710412657143,11.462381906664852,-0.004722219906577507,12.7296,1.2624958734285698,1.2672180933351473,-0.004722219906577507
203076,Anthony Davis,32.0,Forward,Center,True,True,False,AST,1.0,3.548573886227427,3.548573886227427,0.0,3.2256,0.3229738862274272,0.3229738862274272,0.0
203076,Anthony Davis,32.0,Forward,Center,True,True,False,BLK,1.004381928378134,1.986980305644344,1.9956871110324401,0.008706805388096095,1.9008,0.08618030564434398,0.09488711103244007,-0.008706805388096095
203507,Giannis Antetokounmpo,31.0,Forward,Center,True,True,False,PTS,1.0221894318841038,28.44316169688869,28.487299295930352,0.0441375990416617,34.40615976900867,5.9629980721199765,5.918860473078315,0.0441375990416617
203507,Giannis Antetokounmpo,31.0,Forward,Center,True,True,False,REB,0.9997092674467571,11.593474648809565,11.59010404832396,-0.003370600485604669,12.196342637151108,0.6028679883415435,0.6062385888271482,-0.003370600485604669
203507,Giannis Antetokounmpo,31.0,Forward,Center,True,True,False,AST,1.0,6.422173256339833,6.422173256339833,0.0,6.791145332050048,0.3689720757102153,0.3689720757102153,0.0
203507,Giannis Antetokounmpo,31.0,Forward,Center,True,True,False,BLK,1.0024085251227137,1.06746043915137,1.070031444436569,0.002571005285199046,0.8315688161693936,0.2358916229819764,0.23846262826717546,-0.002571005285199046
203939,Dwight Powell,34.0,Forward,Center,True,True,False,PTS,1.0850723699465326,2.44671110548676,2.067858617805019,-0.37885248768174096,8.344370860927151,5.897659755440392,6.2765122431221325,-0.3788524876817405
203939,Dwight Powell,34.0,Forward,Center,True,True,False,REB,0.9993090366490507,2.204906747855244,2.203383238100215,-0.0015235097550290178,10.211920529801326,8.007013781946082,8.00853729170111,-0.0015235097550281296
203939,Dwight Powell,34.0,Forward,Center,True,True,False,AST,1.0,0.8450891458487824,0.8450891458487824,0.0,2.701986754966887,1.8568976091181046,1.8568976091181046,0.0
203939,Dwight Powell,34.0,Forward,Center,True,True,False,BLK,1.010103570356438,0.2413378968579862,0.24377627127856566,0.0024383744205794533,0.8344370860927153,0.593099189234729,0.5906608148141497,0.00243837442057937
204001,Kristaps Porziņģis,30.0,Forward,Center,True,True,False,PTS,1.010500988954665,19.062590840557736,18.67576689642173,-0.3868239441360046,24.91948051948052,5.856889678922784,6.243713623058788,-0.3868239441360046
204001,Kristaps Porziņģis,30.0,Forward,Center,True,True,False,REB,0.9998179975243157,6.793644064848898,6.792407604810178,-0.001236460038720466,7.807792207792207,1.0141481429433084,1.0153846029820288,-0.001236460038720466
204001,Kristaps Porziņģis,30.0,Forward,Center,True,True,False,AST,1.0,2.224177228334068,2.224177228334068,0.0,3.7870129870129854,1.5628357586789172,1.5628357586789172,0.0
204001,Kristaps Porziņģis,30.0,Forward,Center,True,True,False,BLK,1.0010217785259237,1.5162850145557467,1.5178343220227997,0.0015493074670529516,1.7766233766233768,0.26033836206763006,0.2587890546005771,0.0015493074670529516
201959,Taj Gibson,40.0,Forward,Center,True,True,False,PTS,1.3694891103525735,3.339916839916839,3.9869797417492903,0.6470629018324514,,,,
201959,Taj Gibson,40.0,Forward,Center,True,True,False,REB,0.9981758888365666,3.127858627858628,3.1221530660179098,-0.005705561840718243,,,,
201959,Taj Gibson,40.0,Forward,Center,True,True,False,AST,1.0,0.5301455301455301,0.5301455301455301,0.0,,,,
201959,Taj Gibson,40.0,Forward,Center,True,True,False,BLK,1.0419259868974742,0.5301455301455301,0.5523724046961661,0.02222687455063599,,,,
203482,Kelly Olynyk,34.0,Forward,Center,True,True,False,PTS,1.0850723699465326,8.518741231081526,8.656450736570873,0.13770950548934735,,,,
203482,Kelly Olynyk,34.0,Forward,Center,True,True,False,REB,0.9993090366490507,4.854847939829955,4.851493417829101,-0.0033545220008539545,,,,
203482,Kelly Olynyk,34.0,Forward,Center,True,True,False,AST,1.0,2.810701438848921,2.810701438848921,0.0,,,,
203482,Kelly Olynyk,34.0,Forward,Center,True,True,False,BLK,1.010103570356438,0.4015287769784173,0.4055856512267533,0.004056874248335951,,,,
203486,Mason Plumlee,35.0,Forward,Center,True,True,False,PTS,1.1162177901009849,5.034432389355231,5.032522996058917,-0.0019093932963141214,,,,
203486,Mason Plumlee,35.0,Forward,Center,True,True,False,REB,0.9991509626761873,5.855855855855856,5.850884015671368,-0.004971840184488485,,,,
203486,Mason Plumlee,35.0,Forward,Center,True,True,False,AST,1.0,1.7976115650534252,1.7976115650534252,0.0,,,,
203486,Mason Plumlee,35.0,Forward,Center,True,True,False,BLK,1.0138618557070167,0.5174942384244708,0.5246676688867233,0.007173430462252495,,,,
