,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"tier_prob[1317,2]",0.153562,0.00408307,0.10423,0.0952457,0.0206849,0.133335,0.357843,897.016,519.718,1.00775
"tier_prob[1317,3]",0.11149,0.0012598,0.0436992,0.0406055,0.0531363,0.105802,0.193555,1365.57,995.746,1.00061
"tier_prob[1318,1]",0.688967,0.00471405,0.121396,0.117236,0.47009,0.703855,0.85919,873.201,493.163,1.00328
"tier_prob[1318,2]",0.167238,0.00408153,0.104217,0.0990718,0.0261643,0.150838,0.363578,827.883,490.968,1.00666
"tier_prob[1318,3]",0.143794,0.00137532,0.048922,0.0458679,0.0751302,0.138186,0.234632,1413.13,1329.32,1.00093
"tier_prob[1319,1]",0.367021,0.00289237,0.105028,0.109566,0.197421,0.366728,0.542997,1281.1,762.386,1.00415
"tier_prob[1319,2]",0.179479,0.00333381,0.0992515,0.10141,0.0312394,0.171633,0.360546,859.989,577.195,1.00513
"tier_prob[1319,3]",0.4535,0.00220171,0.0855792,0.0893237,0.318739,0.452986,0.595414,1536.74,1346.75,1.00156
"tier_prob[1320,1]",0.964907,0.00424374,0.0637719,0.0164005,0.866951,0.986571,0.998959,692.199,427.488,1.00499
"tier_prob[1320,2]",0.0341013,0.00413461,0.0624139,0.0159396,0.000997704,0.0130306,0.130777,686.328,424.454,1.00495
"tier_prob[1320,3]",0.000991892,0.000136752,0.00364645,0.000191428,6.79093e-06,0.000147253,0.00436195,1305.16,693.422,1.00376
"tier_prob[1321,1]",0.378306,0.00302402,0.104861,0.108911,0.209369,0.378909,0.551882,1180.55,780.85,1.00452
"tier_prob[1321,2]",0.184292,0.00343095,0.0992799,0.101712,0.0340635,0.17587,0.362452,823.65,514.747,1.00551
"tier_prob[1321,3]",0.437401,0.00213169,0.0824679,0.0859322,0.307398,0.436201,0.577449,1529.12,1346.96,1.00151
"tier_prob[1322,1]",0.375142,0.00312271,0.102377,0.108511,0.214514,0.375585,0.545807,1077.94,655.834,1.0044
"tier_prob[1322,2]",0.191455,0.00355348,0.0985405,0.101455,0.0403273,0.185308,0.366579,770.051,495.89,1.00638
"tier_prob[1322,3]",0.433402,0.00207163,0.0790569,0.0834593,0.307713,0.431744,0.567886,1496.43,1362.78,1.00143
"tier_prob[1323,1]",0.97359,0.00368006,0.0497521,0.0122492,0.91178,0.987768,0.998326,602.511,412.123,1.00391
"tier_prob[1323,2]",0.0260282,0.00360772,0.0490525,0.0120741,0.00161026,0.0120725,0.0870514,600.828,409.923,1.00397
"tier_prob[1323,3]",0.000381639,6.78767e-05,0.00131765,0.000150043,1.7852e-05,0.00014069,0.00130296,948.723,461.255,1.00222
"tier_prob[1324,1]",0.714672,0.00491832,0.1173,0.110961,0.509668,0.730425,0.876767,802.651,459.475,1.00326
"tier_prob[1324,2]",0.165274,0.00426507,0.101182,0.0935306,0.028696,0.148181,0.354385,755.573,444.915,1.005
"tier_prob[1324,3]",0.120055,0.00123998,0.0424765,0.0406873,0.0616392,0.11406,0.199438,1298.35,1231.57,1.00121
"tier_prob[1325,1]",0.848217,0.00411872,0.0963795,0.0780826,0.669157,0.870348,0.961818,878.626,507.326,1.00413
"tier_prob[1325,2]",0.114199,0.00388598,0.0891529,0.0716263,0.0134855,0.0913737,0.283484,786.351,499.109,1.00495
"tier_prob[1325,3]",0.0375838,0.000550064,0.0208972,0.0182596,0.0130581,0.03337,0.0785181,1545.83,1206.64,1.00019
"tier_prob[1326,1]",0.959604,0.00472955,0.0747987,0.0169743,0.835239,0.986163,0.999068,678.556,542.568,1.00655
"tier_prob[1326,2]",0.0389881,0.00454061,0.0726524,0.0162878,0.00087577,0.0132573,0.162179,684.504,538.375,1.00654
"tier_prob[1326,3]",0.00140809,0.000207112,0.00532576,0.000253077,8.84863e-06,0.000193173,0.0057429,1289.25,868.476,1.00739
"tier_prob[1327,1]",0.606689,0.00425456,0.144325,0.151095,0.356249,0.611473,0.830215,1258.92,1040.45,1.00402
"tier_prob[1327,2]",0.169268,0.00396282,0.121232,0.112089,0.01849,0.144231,0.406999,963.209,835.62,1.00954
"tier_prob[1327,3]",0.224043,0.00221288,0.0891142,0.094816,0.0914171,0.216387,0.376086,1721.47,1325.23,1.00048
"tier_prob[1328,1]",0.208529,0.00205112,0.0745957,0.0784051,0.101527,0.20093,0.346399,1283.51,1047.35,1.00693
"tier_prob[1328,2]",0.148495,0.0029111,0.0870863,0.08428,0.0237839,0.137622,0.304315,912.529,511.454,1.00541
"tier_prob[1328,3]",0.642976,0.00252882,0.0861812,0.0856261,0.490787,0.650903,0.769672,1241.29,1274.98,0.999865
"tier_prob[1329,1]",0.216132,0.00213757,0.0732789,0.076004,0.105877,0.210243,0.346687,1060.03,967.25,1.00827
"tier_prob[1329,2]",0.157063,0.00302299,0.0867281,0.0829295,0.0279582,0.147138,0.309936,852.818,573.28,1.0054
"tier_prob[1329,3]",0.626806,0.00243767,0.0822821,0.0817506,0.483621,0.634644,0.748278,1197.95,1277.58,0.999612
"tier_prob[1330,1]",0.981545,0.00244722,0.0372832,0.00818543,0.941134,0.991661,0.998758,641.067,417.844,1.00516
"tier_prob[1330,2]",0.0179252,0.00236336,0.0363909,0.00802262,0.00110968,0.00800497,0.0577572,636.655,411.829,1.0045
"tier_prob[1330,3]",0.000529312,7.92633e-05,0.00155356,0.00021346,2.45871e-05,0.000194581,0.00177488,996.475,699.933,1.00239
"tier_prob[1331,1]",0.968077,0.00387799,0.0604226,0.0139135,0.876864,0.988915,0.999295,702.263,428.165,1.00457
"tier_prob[1331,2]",0.0309568,0.00377157,0.0591279,0.0134127,0.000654994,0.0106522,0.120546,694.743,428.165,1.00464
"tier_prob[1331,3]",0.000966635,0.000131648,0.0036603,0.000181178,6.21653e-06,0.000138463,0.00388789,1293.25,746.122,1.00477
"tier_prob[1332,1]",0.556665,0.00402163,0.130949,0.137359,0.327253,0.562969,0.755159,1144.08,620.648,1.0046
"tier_prob[1332,2]",0.1749,0.00353054,0.111112,0.109999,0.0227978,0.156554,0.397764,1046.13,516.119,1.00746
"tier_prob[1332,3]",0.268434,0.00188494,0.0763095,0.074153,0.151426,0.264339,0.40368,1799.71,1209.21,1.00047
"tier_prob[1333,1]",0.283907,0.00240939,0.0986411,0.101169,0.133341,0.277112,0.450716,1636.44,1294.75,1.00115
"tier_prob[1333,2]",0.15714,0.00298713,0.0958055,0.0975146,0.0229112,0.145506,0.336149,969.437,696.682,1.00441
"tier_prob[1333,3]",0.558953,0.00250898,0.0973943,0.101978,0.39431,0.56329,0.711543,1544.96,1560.06,1.00177
"tier_prob[1334,1]",0.330926,0.00264043,0.101419,0.105874,0.169668,0.328909,0.502111,1434.23,1154.24,1.00338
"tier_prob[1334,2]",0.171931,0.00319331,0.0975602,0.101408,0.0283107,0.163531,0.353045,889.39,571.855,1.00501
"tier_prob[1334,3]",0.497143,0.0023281,0.0898955,0.0947203,0.350144,0.499221,0.64118,1522.0,1446.02,1.00168
"tier_prob[1335,1]",0.973304,0.00371563,0.050031,0.0124049,0.910377,0.98754,0.99829,597.637,409.425,1.004
"tier_prob[1335,2]",0.0263114,0.00364233,0.0493204,0.0122488,0.00165926,0.0122819,0.0879489,595.702,420.888,1.00409
"tier_prob[1335,3]",0.000384427,6.86934e-05,0.00134024,0.000150863,1.81878e-05,0.000141673,0.00130263,949.949,464.299,1.00208
"tier_prob[1336,1]",0.522884,0.0040278,0.118803,0.124667,0.326053,0.530826,0.7015,956.086,615.44,1.00467
"tier_prob[1336,2]",0.189329,0.00377944,0.104471,0.105742,0.0331568,0.177933,0.38213,818.321,487.385,1.00486
"tier_prob[1336,3]",0.287787,0.00175962,0.0687608,0.0695161,0.182913,0.283232,0.408071,1621.9,1256.68,1.00057
"tier_prob[1337,1]",0.981958,0.00240476,0.0380634,0.00801345,0.940268,0.992023,0.998911,648.287,418.839,1.00685
"tier_prob[1337,2]",0.0175225,0.00232423,0.0372301,0.00775658,0.000974309,0.00763719,0.0589202,647.081,418.839,1.0061
"tier_prob[1337,3]",0.000519422,7.68665e-05,0.0015025,0.000211661,2.40275e-05,0.000193824,0.00172835,1004.9,716.151,1.00241
"tier_prob[1338,1]",0.68564,0.00325741,0.135152,0.139719,0.440968,0.698769,0.884877,1762.41,1335.06,1.00091
"tier_prob[1338,2]",0.106891,0.00265226,0.0913418,0.0716306,0.00922753,0.0823705,0.290606,1118.03,951.448,1.00378
"tier_prob[1338,3]",0.207469,0.00232957,0.102245,0.103259,0.0677199,0.194864,0.398731,1973.76,1501.12,1.00092
"tier_prob[1339,1]",0.913038,0.00261722,0.0683228,0.0464921,0.791944,0.930753,0.980574,1212.66,519.417,1.00226
"tier_prob[1339,2]",0.0612321,0.00238098,0.0612447,0.0371076,0.00632582,0.0433607,0.175712,1037.89,487.931,1.00397
"tier_prob[1339,3]",0.0257304,0.000442913,0.0180978,0.0138886,0.00610396,0.0215194,0.0613122,1909.41,1451.89,1.00228
"tier_prob[1340,1]",0.981769,0.0024237,0.0375595,0.00805941,0.941463,0.99186,0.998813,640.711,426.688,1.0055
"tier_prob[1340,2]",0.0177067,0.00234144,0.0366947,0.00785701,0.00106773,0.00782012,0.0574386,642.459,421.763,1.00493
"tier_prob[1340,3]",0.000524336,7.80734e-05,0.00152749,0.000211903,2.43238e-05,0.000193626,0.00173706,999.736,707.242,1.00243
"tier_prob[1341,1]",0.51494,0.00319513,0.126535,0.127043,0.295485,0.515003,0.729113,1629.46,1186.21,1.00141
"tier_prob[1341,2]",0.123638,0.00290657,0.089493,0.080023,0.0181791,0.103748,0.305894,1081.38,849.256,1.00546
"tier_prob[1341,3]",0.361423,0.00261808,0.110231,0.110974,0.188216,0.355293,0.554891,1826.25,1394.74,1.00168
"tier_prob[1342,1]",0.452088,0.00297474,0.12101,0.124338,0.25644,0.450081,0.66209,1684.18,1185.8,1.00144
"tier_prob[1342,2]",0.126339,0.00284819,0.0883207,0.0782026,0.0198637,0.106795,0.304846,1016.23,772.093,1.00683
"tier_prob[1342,3]",0.421573,0.00272693,0.113918,0.115326,0.23651,0.420096,0.611675,1759.96,1226.6,1.00182
"tier_prob[1343,1]",0.958115,0.00486717,0.0762375,0.0175495,0.827192,0.985567,0.998914,675.827,472.816,1.00681
