row,player_idx,log_mpg_actual,log_mpg_fitted,mpg_fitted,p_bench,p_rotation,p_star,mpg_actual
0,1,2.681021528714291,2.8804947437500004,17.867024375,0.8117637803875,0.18716243572189806,0.0010737794930800002,14.600000000000001
1,2,2.174751721484161,2.8495434687500008,17.2948395625,0.929865940625,0.06926812786838689,0.0008659462194750001,8.8
2,3,3.54333590504141,2.8517538562499998,17.3311051875,0.9234252571249999,0.0759886293091375,0.00058611920926875,34.582089552238806
3,3,3.50789034255376,3.2493099375,25.806746125,0.17741334611875,0.2674837440485625,0.555102898125,33.37777777777777
4,3,3.6171724434977524,3.23737864375,25.505899625,0.18531233457500002,0.28685560614399996,0.5278320725,37.23214285714285
5,3,3.570300647370257,3.2617797937499997,26.138516312500002,0.1509013686,0.2784664949741375,0.570632137125,35.527272727272724
6,4,3.4912692048048912,2.852983725,17.3533925625,0.9185111695,0.08089121324886875,0.00059761063191875,32.82758620689655
7,4,3.1983773033198597,3.23410353125,25.4209539375,0.1919047761,0.28460059170100005,0.52349463625,24.492753623188403
8,4,3.2614354392869966,3.03673309375,20.872783812500003,0.480693131,0.330746602588475,0.1885602494375,26.08695652173913
9,5,2.8064902739154625,2.86856399375,17.640925375000002,0.8594313706874999,0.1395940651467325,0.0009745688312512501,16.551724137931032
10,6,2.937550318171255,2.84406108125,17.1961920625,0.9517615331249999,0.047467194226512494,0.0007712669908375,18.8695652173913
11,6,2.847602081508316,2.98933431875,19.9052958125,0.6332845965625,0.1967110319128125,0.17000435056250002,17.246376811594207
12,6,2.7819200496686656,2.97332330625,19.5883410625,0.6544169758125,0.20402314990843748,0.14155987012500001,16.150000000000002
13,7,2.9909589948013333,2.8608621750000003,17.49687975,0.8902386298749999,0.10885464432426875,0.0009067302518,19.904761904761905
14,7,3.0550488507104103,3.127994475,22.872364125000004,0.31877187008124996,0.36063170073287504,0.32059642331250005,21.222222222222218
15,7,2.9662702408236745,3.0353211,20.846444312499997,0.46897849281250004,0.356696654816375,0.174324852375,19.419354838709673
