,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"zone_fga_per_36_intrinsic[170,4]",0.0642859,0.000621063,0.0282364,0.0240207,0.028445,0.0595162,0.114637,2040.39,887.881,1.00431
"zone_fga_per_36_intrinsic[170,5]",0.134274,0.0011153,0.0489369,0.0442143,0.0688131,0.126792,0.226439,2098.11,1234.41,1.00129
"zone_fga_per_36_intrinsic[170,6]",1.771,0.00981247,0.447073,0.411718,1.16488,1.71521,2.56523,2526.42,835.953,1.00392
"zone_fga_per_36_intrinsic[171,1]",6.43702,0.0182028,0.962852,0.936581,4.95602,6.3664,8.23302,2804.12,1268.24,1.00253
"zone_fga_per_36_intrinsic[171,2]",5.26576,0.0209821,1.04494,1.03705,3.79659,5.14786,7.10861,2739.35,1165.99,1.00623
"zone_fga_per_36_intrinsic[171,3]",1.92677,0.0109607,0.572352,0.481378,1.18872,1.83723,3.0376,3715.89,1371.83,1.00455
"zone_fga_per_36_intrinsic[171,4]",0.0633926,0.000499675,0.0247217,0.0224302,0.0287003,0.0596408,0.110754,2632.94,1153.82,1.00362
"zone_fga_per_36_intrinsic[171,5]",0.0701095,0.000574849,0.0277218,0.0240332,0.0332251,0.0656078,0.123731,2272.37,1189.61,0.999906
"zone_fga_per_36_intrinsic[171,6]",2.83563,0.0152601,0.690726,0.61178,1.88634,2.74306,4.11081,2541.88,1005.33,1.01533
"zone_fga_per_36_intrinsic[172,1]",4.00176,0.014216,0.637133,0.600327,3.09246,3.93158,5.1284,2245.48,1173.97,1.00124
"zone_fga_per_36_intrinsic[172,2]",3.62928,0.0160282,0.741358,0.688527,2.61705,3.52479,5.0002,2419.89,1258.78,1.00894
"zone_fga_per_36_intrinsic[172,3]",3.32411,0.0247308,1.02977,0.784599,2.13182,3.13275,5.12208,2585.05,1312.34,1.00906
"zone_fga_per_36_intrinsic[172,4]",0.180964,0.00140315,0.0617024,0.0549511,0.0999073,0.171226,0.296993,2358.25,1240.3,1.00206
"zone_fga_per_36_intrinsic[172,5]",0.282128,0.00205822,0.0891442,0.0772449,0.158871,0.269544,0.446186,2234.58,1232.33,1.00318
"zone_fga_per_36_intrinsic[172,6]",5.98695,0.0306102,1.40651,1.29421,4.06674,5.7708,8.61742,2677.18,1188.05,1.00486
"zone_fga_per_36_intrinsic[173,1]",2.03708,0.0124435,0.589111,0.538599,1.21171,1.96322,3.10078,2319.19,1473.13,1.00017
"zone_fga_per_36_intrinsic[173,2]",1.46309,0.0136651,0.613802,0.495566,0.720451,1.34797,2.56814,2310.89,1079.3,1.00653
"zone_fga_per_36_intrinsic[173,3]",2.02953,0.0319185,1.23231,0.836016,0.808906,1.73274,4.26942,2668.47,1178.19,0.999667
"zone_fga_per_36_intrinsic[173,4]",0.757642,0.0081345,0.359752,0.277269,0.330828,0.686875,1.48769,2750.8,1008.72,1.00396
"zone_fga_per_36_intrinsic[173,5]",0.923519,0.0100373,0.424199,0.354037,0.428453,0.840936,1.7335,2383.32,1113.03,1.0012
"zone_fga_per_36_intrinsic[173,6]",5.28467,0.0604857,2.46255,1.90106,2.43001,4.74057,9.90341,2240.44,1227.12,1.0017
"zone_fga_per_36_intrinsic[174,1]",2.5372,0.0199152,0.939113,0.801279,1.35018,2.37328,4.23491,3461.99,1048.46,1.0011
"zone_fga_per_36_intrinsic[174,2]",2.09494,0.026774,1.04567,0.814585,0.893141,1.88073,4.08049,1866.19,1089.7,1.00261
"zone_fga_per_36_intrinsic[174,3]",1.76462,0.0413132,1.3623,0.848783,0.50775,1.39741,4.47518,1846.05,778.122,1.00129
"zone_fga_per_36_intrinsic[174,4]",1.04719,0.0124946,0.558889,0.449073,0.431225,0.912853,2.0435,2739.48,1204.18,1.01048
"zone_fga_per_36_intrinsic[174,5]",1.05254,0.0136615,0.599132,0.459332,0.378627,0.924402,2.16525,2241.43,1107.37,1.00562
"zone_fga_per_36_intrinsic[174,6]",5.27388,0.0890761,3.42104,2.22953,1.89557,4.36075,11.94,2290.79,1345.3,0.999115
"zone_fga_per_36_intrinsic[175,1]",1.70315,0.00781711,0.327447,0.311116,1.22651,1.66594,2.30202,1987.25,1084.16,1.00986
"zone_fga_per_36_intrinsic[175,2]",1.03949,0.00564814,0.247636,0.235389,0.691106,1.01213,1.49032,2148.13,1083.72,1.00324
"zone_fga_per_36_intrinsic[175,3]",0.2962,0.00263005,0.115282,0.0993557,0.150754,0.269546,0.521272,2122.41,1209.85,1.00022
"zone_fga_per_36_intrinsic[175,4]",0.791729,0.00548633,0.214939,0.198794,0.498323,0.760174,1.19863,1670.28,1185.22,1.00344
"zone_fga_per_36_intrinsic[175,5]",0.935128,0.00575678,0.245224,0.229057,0.588841,0.909053,1.39235,1855.28,1262.03,1.00173
"zone_fga_per_36_intrinsic[175,6]",5.76468,0.0440965,1.54475,1.38386,3.74498,5.52369,8.76956,1437.77,974.79,1.00601
"zone_fga_per_36_intrinsic[176,1]",4.69643,0.0145024,0.781799,0.765207,3.55004,4.61964,6.03841,3288.1,1235.32,1.00437
"zone_fga_per_36_intrinsic[176,2]",3.56449,0.0178013,0.714016,0.675925,2.54164,3.4684,4.87723,1814.37,1122.37,1.00559
"zone_fga_per_36_intrinsic[176,3]",2.32877,0.0166158,0.709712,0.666473,1.40748,2.20991,3.70208,2635.13,1014.76,1.00093
"zone_fga_per_36_intrinsic[176,4]",0.250849,0.0019124,0.0867233,0.0779262,0.134293,0.237213,0.40914,2212.45,1204.27,0.999042
"zone_fga_per_36_intrinsic[176,5]",0.299524,0.00273432,0.105148,0.095982,0.160834,0.279512,0.493913,2059.66,1191.04,1.00474
"zone_fga_per_36_intrinsic[176,6]",0.949161,0.00692226,0.314634,0.27938,0.519737,0.902206,1.51936,2335.23,1208.98,1.00456
"zone_fga_per_36_intrinsic[177,1]",3.23946,0.0245505,1.08066,0.987011,1.8607,3.06912,5.31886,2383.14,1192.76,1.00013
"zone_fga_per_36_intrinsic[177,2]",2.85214,0.0305395,1.2979,1.06795,1.34217,2.5752,5.36183,2340.02,1072.95,1.00582
"zone_fga_per_36_intrinsic[177,3]",2.14992,0.0446452,1.50563,0.975091,0.68045,1.75738,4.85194,1936.5,890.127,1.00029
"zone_fga_per_36_intrinsic[177,4]",0.818768,0.0124351,0.500198,0.365531,0.296511,0.702529,1.70931,2355.43,951.993,1.00033
"zone_fga_per_36_intrinsic[177,5]",0.622478,0.00975026,0.406741,0.279627,0.196063,0.521122,1.38892,2385.78,1088.8,1.00339
"zone_fga_per_36_intrinsic[177,6]",4.23122,0.10805,3.36597,1.89723,1.2444,3.28539,10.1781,1907.08,1040.79,1.00416
"zone_fga_per_36_intrinsic[178,1]",1.73172,0.00616128,0.302235,0.298366,1.29027,1.69718,2.25738,2394.66,1378.27,1.00458
"zone_fga_per_36_intrinsic[178,2]",3.99506,0.0192165,0.818263,0.75858,2.84217,3.87514,5.45932,2158.19,1170.65,1.00536
