stan_idx,nba_api_id,name,alpha_mean,alpha_sd,ra_intrinsic_per36_mean,paint_intrinsic_per36_mean,mid_intrinsic_per36_mean,lc3_intrinsic_per36_mean,rc3_intrinsic_per36_mean,ab3_intrinsic_per36_mean,total_intrinsic_per36
1,1713,Vince Carter,0.978162841875,0.015062962075381173,2.75020580375,2.1326195118749998,2.000463875625,0.77922034,0.73699031375,6.829494899999999,15.228995274999999
2,2544,LeBron James,0.9914171412499999,0.008179397755721287,9.980701481250001,2.68637865625,2.9827725875,0.30895697875,0.3515999356250001,7.160010831249999,23.470419624999998
3,2546,Carmelo Anthony,0.991242283125,0.008402900146331339,2.9368916875,1.637747044375,3.8372016187500004,0.7094929012500001,0.7045359600000001,6.05083565,15.8767044
4,2594,Kyle Korver,0.97908775875,0.015127563817723544,2.22054368,1.4787672800000002,1.7791764099999998,0.932079900625,0.853539815,7.031582612500001,14.295689699999999
5,2730,Dwight Howard,0.9925854093749998,0.007210502359963356,7.6752872375,1.3892688512500002,0.32671154131249996,0.0503144464875,0.06594939841875,0.32609553506249994,9.83362701875
6,2738,Andre Iguodala,0.9800165887500001,0.013976159036717615,2.67575060625,0.98328792875,0.716222022125,0.83480727875,0.8931599662499999,2.9464404225,9.04966843125
7,2772,Trevor Ariza,0.990855076875,0.008554774306255265,4.0021708875,1.010891815,0.4723245401875,0.964792615625,1.095953455625,3.832313351875,11.37844748125
8,101107,Marvin Williams,0.990779073125,0.008770088543254723,3.09033731,1.95080246625,1.0123994376249998,0.940909454375,0.7389542156249999,3.72736299875,11.460766612499999
9,101108,Chris Paul,0.983294175625,0.010858710497903552,1.2959275156249999,3.74793275625,4.57420199375,0.29653636375,0.1465802840625,4.0827259125,14.14390465
10,101133,Ian Mahinmi,0.9911779925,0.00860835159873502,6.325445293749999,2.5766550431249997,0.6300993023125,0.10768168249999999,0.09342908630625,0.7354324844375,10.468742312500002
11,101141,Ersan Ilyasova,0.9905158237499999,0.009226235530346922,4.3576308062499995,1.8601225700000001,1.16161733125,0.6635553287499999,0.77943320325,4.331974478125,13.154333393749999
12,101150,Lou Williams,0.9785152637500001,0.014958226166910164,3.4983342000000004,3.9795226,4.12671348125,0.9098216725,0.57919611125,3.48052975,16.574118125
13,200746,LaMarcus Aldridge,0.9910211518750001,0.008772498934243821,4.84993324375,2.5129810187499997,4.660139318750001,0.1964826515,0.1337000575,1.412153800625,13.76538828125
14,200752,Rudy Gay,0.990749113125,0.009538320631422898,3.0038842,2.5106750562499998,2.5390598125,0.776823885625,1.018128573125,4.899630825,14.748204124999997
15,200755,JJ Redick,0.97901378,0.01456433137416888,1.85649895125,1.209717603125,3.068477714375,0.6271636293749999,0.8726824275,7.399870149999999,15.034409487500001
16,200765,Rajon Rondo,0.97918117125,0.014231365978075452,4.4746157562499995,1.806410415,0.95257148,0.40471507937500006,0.3941147775625001,4.09106718125,12.123493100000001
